slice,candidate,mid_window,par_type,prob_band,n,brier_cal,logloss_cal,mean_pred,actual_wr,gap_pp,target_above_par,venue_chase_success,batting_team_venue_wr,venue_chase_bucket,team_venue_bucket,venue_score_bucket
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,high_target,00_50,145,0.03437696275216593,0.15010157535073732,0.1270491263925175,0.0,12.70491263925175,40.265037593984964,0.592597873995333,0.2482758620689655,,low_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,high_target,00_50,367,0.10291527513740904,0.33100797228912543,0.18191289773482436,0.10899182561307902,7.292107212174534,50.17267935417218,0.5177737889052961,0.49276881156990154,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,low_target,70_80,56,0.06619167651475492,0.2968442176684145,0.7433933181899192,1.0,-25.660668181008084,-28.34260204081632,0.6072108843537415,0.6285714285714284,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,low_target,80_100,109,0.0058998168615595524,0.0646092108987743,0.9385885359170594,1.0,-6.1411464082940626,-53.036478811708164,0.529925731760594,0.6098733071210135,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,low_target,00_50,88,0.5088633052032094,1.3346980316199584,0.29821813598928076,1.0,-70.17818640107191,-30.314237967914437,0.3244652406417112,0.5,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,low_target,80_100,265,0.10807836734884041,0.470698363518344,0.934537035340796,0.8943396226415095,4.019741269928656,-53.445244701654254,0.4520133713862904,0.5,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,00_50,112,0.15800555073968617,0.4459351309627356,0.18774700846959097,0.26785714285714285,-8.011013438755189,12.337765548029557,0.5483287482122995,0.6435574229691875,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,80_100,60,0.01151088941116201,0.0995137116899679,0.9068851922117619,1.0,-9.31148077882381,-9.536328638035194,0.6160649789860783,0.614206349206349,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,00_50,125,0.07340540133956981,0.3012397417641649,0.2537411683082223,0.0,25.37411683082223,9.652584211423708,0.5515205910770108,0.2918319327731093,,low_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,00_50,178,0.18724076229309677,0.5443031237379075,0.24628916252895397,0.34831460674157305,-10.202544421261909,2.308518666882192,0.5288641843376477,0.4950429610046266,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,50_60,84,0.2289124825381387,0.6506353283612076,0.552076333034253,0.7380952380952381,-18.601890506098517,-0.48391302183641993,0.5481378345685252,0.5,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,60_70,74,0.2545345487473884,0.7049129624776511,0.6507643265396679,0.5945945945945946,5.616973194507324,2.8354554232616556,0.48951985969585904,0.5009009009009009,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,70_80,114,0.17137305530428493,0.5284729525352382,0.7560155691840195,0.7894736842105263,-3.3458115026506863,-3.607394635526596,0.5416563910976219,0.49694311536416796,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,80_100,206,0.06910529846054671,0.23258982472741788,0.9259442636643564,0.912621359223301,1.3322904441055439,-0.3897068700789913,0.5336716539300025,0.49938217122683143,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,high_target,00_50,278,0.03743827866305181,0.16266947596655282,0.13833068996658374,0.0035971223021582736,13.473356766442546,43.46958161755437,0.6147499569927244,0.6182411437168157,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,high_target,80_100,63,0.007897748527451254,0.07890766281268607,0.9254347392578459,1.0,-7.456526074215408,40.03806393488934,0.5441680600410759,0.6161117078410308,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,high_target,00_50,127,0.03897716583072292,0.1652275740495439,0.13983401695266487,0.0,13.983401695266487,40.216292700254584,0.5918625303416021,0.25631796025496817,,low_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,high_target,80_100,49,0.008026287341190012,0.07353098050338525,0.9309059350936681,1.0,-6.909406490633185,42.03826530612245,0.5391156462585034,0.42772108843537415,,low_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,high_target,00_50,276,0.07905615269875682,0.26210609282250397,0.16822233308760542,0.05434782608695652,11.38745070006489,51.8143081434064,0.5096466430848582,0.49194537346711265,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,low_target,80_100,93,0.007165604835772875,0.06292437512911568,0.9410597936014576,1.0,-5.8940206398542365,-43.647243556920984,0.5380508619218295,0.6290493258235192,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,low_target,80_100,161,0.07729201623057641,0.2642838920581076,0.9457039076235332,0.906832298136646,3.887160948688717,-41.20120374236651,0.4433395097169303,0.5,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,00_50,78,0.06185471402838333,0.23600522587547657,0.18583529476241625,0.02564102564102564,16.01942691213906,10.380567528735634,0.5511135948774992,0.6581699346405228,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,80_100,66,0.0063594946871123915,0.06386181406224774,0.9396495884929954,1.0,-6.03504115070046,-8.112217774673447,0.6300721458079616,0.5863997113997114,,high_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,00_50,100,0.04238760425557578,0.20185814091607956,0.17542978069642806,0.0,17.542978069642807,9.5276821824382,0.5487974992895711,0.29848739495798315,,low_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,80_100,54,0.008715886405060982,0.08267091155634067,0.9221061989273089,1.0,-7.789380107269106,-11.277750624524822,0.553214945150429,0.32253086419753074,,low_team_venue,
