overs,score,wickets,saved_model,scorecard_replay,router_raw,phase,rule,b1,b1_balls,b2,b2_balls,set_batter_exposure,balls_since_wicket,partnership_solidity,runs_last_12,runs_last_18,wickets_last_12,v7_raw,v7_cal
8.0,57,2,0.0937098921335151,0.1411173306556501,0.1411173306556501,mid,,Ishan Kishan,20,Heinrich Klaasen,1,20.0,2.0,0.3516666666666666,12.0,19.0,1.0,0.2365761443161488,0.2365761443161488
8.1,58,2,0.0937093619083817,0.1417994200300676,0.1417994200300676,mid,,Ishan Kishan,20,Heinrich Klaasen,2,20.0,3.0,0.365,13.0,20.0,1.0,0.23346307997157068,0.23346307997157068
8.2,59,2,0.093048044388144,0.1396517736710099,0.1396517736710099,mid,,Ishan Kishan,20,Heinrich Klaasen,3,20.0,4.0,0.3783333333333333,13.0,20.0,1.0,0.2321140029187089,0.2321140029187089
8.3,59,2,0.0930462278908945,0.1391452504454184,0.1391452504454184,mid,,Ishan Kishan,21,Heinrich Klaasen,3,21.0,5.0,0.3966666666666666,12.0,20.0,1.0,0.21789384262455885,0.21789384262455885
8.4,59,2,0.0925628231305976,0.1388663121940349,0.1388663121940349,mid,,Ishan Kishan,21,Heinrich Klaasen,4,21.0,6.0,0.41,12.0,20.0,1.0,0.2075298975914308,0.2075298975914308
8.5,63,2,0.0939698879870107,0.140783418030266,0.140783418030266,mid,,Ishan Kishan,22,Heinrich Klaasen,4,22.0,7.0,0.4283333333333333,16.0,18.0,1.0,0.24423975339459433,0.24423975339459433
9.0,64,2,0.0951966522272135,0.1424032411027156,0.1424032411027156,mid,,Ishan Kishan,22,Heinrich Klaasen,5,22.0,8.0,0.4416666666666666,11.0,19.0,1.0,0.24110463261249054,0.24110463261249054
9.1,64,2,0.0980550705859967,0.1419401938437767,0.1419401938437767,mid,,Ishan Kishan,22,Heinrich Klaasen,6,22.0,9.0,0.4549999999999999,10.0,19.0,1.0,0.2206395243614343,0.2206395243614343
9.2,64,2,0.0933912462477475,0.1381742357739789,0.1381742357739789,mid,,Ishan Kishan,23,Heinrich Klaasen,6,23.0,10.0,0.4733333333333333,9.0,18.0,1.0,0.21029604428379212,0.21029604428379212
9.3,68,2,0.0982454919005467,0.1454903887496749,0.1454903887496749,mid,,Ishan Kishan,23,Heinrich Klaasen,7,23.0,11.0,0.4866666666666666,12.0,21.0,1.0,0.24019070135035325,0.24019070135035325
9.4,68,2,0.0952928647263374,0.1456163398094863,0.1456163398094863,mid,,Ishan Kishan,23,Heinrich Klaasen,8,23.0,12.0,0.575,12.0,21.0,0.0,0.23269277250695505,0.23269277250695505
9.5,74,2,0.109299386701092,0.1628850096988177,0.1628850096988177,mid,,Ishan Kishan,24,Heinrich Klaasen,8,24.0,13.0,0.5933333333333333,18.0,27.0,0.0,0.30468078041135327,0.30468078041135327
10.0,75,2,0.1092939552235274,0.1614784606812156,0.1614784606812156,mid,,Ishan Kishan,24,Heinrich Klaasen,9,24.0,14.0,0.6066666666666667,18.0,22.0,0.0,0.3032855403047936,0.3032855403047936
10.1,76,2,0.1094133852424875,0.1616013450818401,0.1616013450818401,mid,,Ishan Kishan,24,Heinrich Klaasen,10,24.0,15.0,0.62,18.0,22.0,0.0,0.29406195925661427,0.29406195925661427
10.2,77,2,0.110180819388705,0.1615848018733006,0.1615848018733006,mid,,Ishan Kishan,25,Heinrich Klaasen,10,25.0,16.0,0.6383333333333334,18.0,22.0,0.0,0.28869263111345667,0.28869263111345667
10.3,83,2,0.1453483480249606,0.2061634873963005,0.2061634873963005,mid,,Ishan Kishan,25,Heinrich Klaasen,11,25.0,17.0,0.6516666666666666,24.0,27.0,0.0,0.3821374334741457,0.3821374334741457
10.4,87,2,0.1725066301306409,0.240353599585952,0.240353599585952,mid,,Ishan Kishan,26,Heinrich Klaasen,11,26.0,18.0,0.6699999999999999,28.0,31.0,0.0,0.4230601081640065,0.4230601081640065
10.5,88,2,0.172269382855038,0.2377444733864602,0.2377444733864602,mid,,Ishan Kishan,26,Heinrich Klaasen,12,26.0,19.0,0.6833333333333333,25.0,32.0,0.0,0.415201724624795,0.415201724624795
11.0,89,2,0.1720770090688829,0.2361870676195404,0.2361870676195404,mid,,Ishan Kishan,26,Heinrich Klaasen,13,26.0,20.0,0.6966666666666667,25.0,32.0,0.0,0.40957072951396933,0.40957072951396933
11.1,89,2,0.1696465304824668,0.2307883972688425,0.2307883972688425,mid,,Ishan Kishan,27,Heinrich Klaasen,13,27.0,21.0,0.715,25.0,31.0,0.0,0.3928836533773834,0.3928836533773834
11.2,93,2,0.1729795865032977,0.2431941917322913,0.2431941917322913,mid,,Ishan Kishan,27,Heinrich Klaasen,14,27.0,22.0,0.7283333333333333,29.0,34.0,0.0,0.4340772950467394,0.4340772950467394
11.3,94,2,0.1726684149750829,0.2409177519346927,0.2409177519346927,mid,,Ishan Kishan,27,Heinrich Klaasen,15,27.0,23.0,0.7416666666666667,26.0,35.0,0.0,0.4278849078964404,0.4278849078964404
11.4,95,2,0.1724142787285206,0.238725326327378,0.238725326327378,mid,,Ishan Kishan,28,Heinrich Klaasen,15,28.0,24.0,0.76,27.0,36.0,0.0,0.4151987900485129,0.4151987900485129
11.4,96,2,0.1739194118505357,0.2453486884118478,0.2453486884118478,mid,,Ishan Kishan,28,Heinrich Klaasen,15,28.0,24.0,0.76,27.0,36.0,0.0,0.4332482056834679,0.4332482056834679
11.5,97,2,0.1728945332716092,0.2407244296046795,0.2407244296046795,mid,,Ishan Kishan,28,Heinrich Klaasen,16,28.0,25.0,0.7733333333333334,22.0,33.0,0.0,0.42685647275541744,0.42685647275541744
12.0,98,2,0.1726058138502062,0.2393561029453738,0.2393561029453738,mid,,Ishan Kishan,29,Heinrich Klaasen,16,29.0,26.0,0.7916666666666667,22.0,33.0,0.0,0.41666448154677255,0.41666448154677255
12.1,99,2,0.1738777230966118,0.2365826768339879,0.2365826768339879,mid,,Ishan Kishan,29,Heinrich Klaasen,17,29.0,27.0,0.8049999999999999,22.0,34.0,0.0,0.4079414315136871,0.4079414315136871
12.1,100,2,0.1738104278374139,0.2432479558306713,0.2432479558306713,mid,,Ishan Kishan,29,Heinrich Klaasen,17,29.0,27.0,0.8049999999999999,22.0,34.0,0.0,0.426483998721185,0.426483998721185
