season,over,ball,overs,score,wickets_lost,target_above_par,current_run_rate,required_run_rate,overs_remaining,balls_remaining,resource_win_prob,partnership_solidity,set_batter_exposure,runs_last_18,near_srh_market_prob_norm,scorecard_replay,v7_cal,partnership_solidity_v2,set_batter_exposure_v2,recent_rate_edge_v2,recent_rate_positive_v2,chase_completion_v2,chase_completion_effect_v2,wicket_safety_v2,phase_pp_v2,phase_mid_v2,phase_late_mid_v2,phase_death_v2,target_below_par_v2,target_above_par_v2,target_par_v2,mid_accel_gate_v2,mid_accel_strength_v2,resource_context_global,resource_phase_target_context,resource_mid_accel_gate_only
2026,1,3,1.3,15.0,0,7.550000000000011,10.0,8.972972972972974,18.5,111,0.4337048969866953,0.4583333333333333,5.0,14.0,0.6783369803063457,0.3723891679946882,0.5462939563491297,0.4583333333333333,0.125,-0.645945945945946,0.0,0.08287292817679558,0.020718232044198894,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4689183847929848,0.4641893873357387,0.4337048969866953
2026,1,4,1.4,15.0,0,7.550000000000011,9.0,9.054545454545455,18.333333333333332,110,0.4233442875441662,0.4766666666666667,6.0,14.0,0.6808278867102397,0.3179833552450357,0.4802481983657558,0.4766666666666667,0.15,-0.6581818181818182,0.0,0.08287292817679558,0.020718232044198894,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4591125587053182,0.45436598851072696,0.4233442875441662
2026,1,5,1.5,15.0,0,7.550000000000011,8.181818181818182,9.137614678899082,18.166666666666668,109,0.41280610101686394,0.495,7.0,14.0,0.6758241758241759,0.283624752373933,0.4628231200489991,0.495,0.175,-0.6706422018348622,0.0,0.08287292817679558,0.020718232044198894,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4490807775585435,0.44432281829355824,0.41280610101686394
2026,2,1,2.0,15.0,0,7.550000000000011,7.5,9.222222222222221,18.0,108,0.40209791420560304,0.5083333333333333,7.0,14.0,0.6591676040494938,0.2721370239390433,0.4440318554049514,0.5083333333333333,0.175,-0.6833333333333332,0.0,0.08916323731138547,0.022290809327846366,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.439058707475213,0.4340771664058207,0.40209791420560304
2026,2,1,2.1,16.0,0,7.550000000000011,7.384615384615385,9.25233644859813,17.833333333333332,107,0.40026593545762174,0.5266666666666666,8.0,15.0,0.6707317073170732,0.2643216690803935,0.4413848347538501,0.5266666666666666,0.2,-0.6378504672897197,0.0,0.08839779005524862,0.022099447513812154,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43982468245855844,0.43435154753544003,0.40026593545762174
2026,2,2,2.2,18.0,0,7.550000000000011,7.7142857142857135,9.226415094339622,17.666666666666668,106,0.4075229293280707,0.54,8.0,17.0,0.6569178852643419,0.2658042430919763,0.4619306252640566,0.54,0.2,-0.5339622641509433,0.0,0.09944751381215469,0.024861878453038673,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4528791749359628,0.44612885333316127,0.4075229293280707
2026,2,3,2.3,18.0,1,7.550000000000011,7.2,9.314285714285715,17.5,105,0.3963328523780073,0.2699999999999999,9.0,17.0,0.5168539325842697,0.2305602126974131,0.3031331242466319,0.2699999999999999,0.225,-0.5471428571428572,0.0,0.09944751381215469,0.024861878453038673,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3515962272314804,0.33300160311082233,0.3963328523780073
2026,2,4,2.4,18.0,1,7.550000000000011,6.75,9.403846153846155,17.333333333333332,104,0.38498054339392823,0.2833333333333333,9.0,17.0,0.523153942428035,0.2074312679950203,0.2879545519406665,0.2833333333333333,0.225,-0.5605769230769233,0.0,0.09944751381215469,0.024861878453038673,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34093533047203295,0.3224689340879253,0.38498054339392823
2026,2,5,2.5,18.0,1,7.550000000000011,6.352941176470588,9.495145631067961,17.166666666666668,103,0.3734777738558824,0.3016666666666666,10.0,17.0,0.50187265917603,0.1821794820594517,0.2748383153181649,0.3016666666666666,0.25,-0.5742718446601941,0.0,0.09944751381215468,0.02486187845303867,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3306334093577461,0.31244316319377347,0.3734777738558824
2026,3,1,3.0,19.0,1,7.550000000000011,6.333333333333333,9.529411764705882,17.0,102,0.3710418339940547,0.3149999999999999,10.0,18.0,0.4981273408239701,0.1824791119065032,0.2743939895509366,0.3149999999999999,0.25,-0.5294117647058822,0.0,0.11016173329264571,0.027540433323161428,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33144964288729023,0.31257311143658345,0.3710418339940547
