candidate,segment,situation,n,matches,brier,brier_delta_vs_v14,brier_delta_pct_vs_v14,logloss,logloss_delta_pct_vs_v14,mean_pred,actual_wr,bias,abs_error,ece
raw_for_high_death_only,high_chase,all_high,4258,37,0.08481652803316014,-0.0005653526627210359,-0.6621459472587004,0.2788953083950006,-0.49378596105376027,0.2985996320824515,0.2576326914044152,0.0409669406780363,0.0409669406780363,0.0689640547546287
raw_for_high_death_only,phase,phase=pp,3481,93,0.14382286332319885,0.0,0.0,0.49928495135452433,0.0,0.47172487728215173,0.5466819879345016,-0.07495711065234989,0.07495711065234989,0.13332019772949555
raw_for_high_death_only,high_phase,phase=pp,1394,37,0.1287323774785409,0.0,0.0,0.3942073686266907,0.0,0.2765922581522481,0.27116212338593976,0.0054301347663083255,0.0054301347663083255,0.08006191750154608
raw_for_high_death_only,phase,phase=mid,5050,93,0.10369643445698584,0.0,0.0,0.33743639494934685,0.0,0.520358771442801,0.5376237623762377,-0.017264990933436697,0.017264990933436697,0.04824089968540228
raw_for_high_death_only,high_phase,phase=mid,2089,37,0.07498730978576752,0.0,0.0,0.2612079089847772,0.0,0.31846500458833576,0.26807084729535663,0.050394157292979136,0.050394157292979136,0.1012546808166063
raw_for_high_death_only,phase,phase=death,1516,79,0.06334574545894953,-0.0015879100513629257,-2.445434557601245,0.20629678582173824,-1.8494244253597796,0.43031519372601856,0.40369393139841686,0.026621262327601702,0.026621262327601702,0.03340509932235205
raw_for_high_death_only,high_phase,phase=death,775,35,0.032319163893730934,-0.003106156952085423,-8.76818297738086,0.1191584895627178,-5.998510773052016,0.2846377173649181,0.20516129032258065,0.07947642704233746,0.07947642704233746,0.09139203223881966
smooth_raw_mid_death_w5,overall,all,10047,93,0.11083001865659338,-0.0009201359158628186,-0.8233867052651134,0.37130675568865795,-0.8026330169437089,0.48806356541902085,0.5205533990245844,-0.03248983360556357,0.03248983360556357,0.06513909048435168
smooth_raw_mid_death_w5,high_chase,all_high,4258,37,0.08318892664115071,-0.002192954054730467,-2.5684068292445743,0.27323590749081883,-2.512986502448782,0.2945532986041851,0.2576326914044152,0.03692060719976992,0.03692060719976992,0.06263888621982001
smooth_raw_mid_death_w5,phase,phase=pp,3481,93,0.14382286332319885,0.0,0.0,0.49928495135452433,0.0,0.47172487728215173,0.5466819879345016,-0.07495711065234989,0.07495711065234989,0.13332019772949555
smooth_raw_mid_death_w5,high_phase,phase=pp,1394,37,0.1287323774785409,0.0,0.0,0.3942073686266907,0.0,0.2765922581522481,0.27116212338593976,0.0054301347663083255,0.0054301347663083255,0.08006191750154608
smooth_raw_mid_death_w5,phase,phase=mid,5050,93,0.10241864009138268,-0.0012777943656031576,-1.2322452283865146,0.3327592986589811,-1.386067525723734,0.5167356799477794,0.5376237623762377,-0.0208880824284583,0.0208880824284583,0.047488534267148164
smooth_raw_mid_death_w5,high_phase,phase=mid,2089,37,0.071724993683527,-0.003262316102240523,-4.350490918477656,0.24975033782571024,-4.386379877852276,0.310379990318776,0.26807084729535663,0.04230914302341937,0.04230914302341937,0.0899382689390555
smooth_raw_mid_death_w5,phase,phase=death,1516,79,0.06309213572114508,-0.0018415197891673701,-2.8360020311422462,0.20585329849010062,-2.0604240135836482,0.43006936689277436,0.40369393139841686,0.026375435494357502,0.026375435494357502,0.03328517441458755
smooth_raw_mid_death_w5,high_phase,phase=death,775,35,0.03217032726199457,-0.0032549935838217872,-9.188324921568618,0.11894834388695648,-6.164290035181466,0.2841994036341462,0.20516129032258065,0.07903811331156554,0.07903811331156554,0.09137575772737924
smooth_raw_mid_death_w10,overall,all,10047,93,0.11084484588021172,-0.0009053086922444775,-0.8101185145632138,0.3714102776073466,-0.7749763648585638,0.48813024490310025,0.5205533990245844,-0.032423154121484166,0.032423154121484166,0.06540972718447643
smooth_raw_mid_death_w10,high_chase,all_high,4258,37,0.0833412945740296,-0.0020405861218515814,-2.38995218332081,0.27382371011270284,-2.3032661817935307,0.2948139847167942,0.2576326914044152,0.037181293312379016,0.037181293312379016,0.06355129962658881
smooth_raw_mid_death_w10,phase,phase=pp,3481,93,0.14382286332319885,0.0,0.0,0.49928495135452433,0.0,0.47172487728215173,0.5466819879345016,-0.07495711065234989,0.07495711065234989,0.13332019772949555
smooth_raw_mid_death_w10,high_phase,phase=pp,1394,37,0.1287323774785409,0.0,0.0,0.3942073686266907,0.0,0.2765922581522481,0.27116212338593976,0.0054301347663083255,0.0054301347663083255,0.08006191750154608
smooth_raw_mid_death_w10,phase,phase=mid,5050,93,0.1024819617782814,-0.001214472678704448,-1.1711807499111473,0.3330143231558322,-1.3104904686343852,0.5169277469153025,0.5376237623762377,-0.020696015460935135,0.020696015460935135,0.04745837248093153
smooth_raw_mid_death_w10,high_phase,phase=mid,2089,37,0.07201428348318958,-0.0029730263025779385,-3.964705909668751,0.2508522134198992,-3.9645413514188386,0.31097233228132165,0.26807084729535663,0.04290148498596502,0.04290148498596502,0.0907122894863013
smooth_raw_mid_death_w10,phase,phase=death,1516,79,0.06297946724941358,-0.0019541882608988675,-3.0095152437375297,0.20568984928691247,-2.138188838208667,0.42987147150395805,0.40369393139841686,0.026177540105541186,0.026177540105541186,0.03282600932550414
smooth_raw_mid_death_w10,high_phase,phase=death,775,35,0.03222769018677287,-0.0031976306590434864,-9.026398583546262,0.11920775736788702,-5.9596444944188605,0.284035015386058,0.20516129032258065,0.07887372506347737,0.07887372506347737,0.09169572907802977
smooth_raw_mid_death_w15,overall,all,10047,93,0.1108878571310299,-0.0008622974414262963,-0.771629752750993,0.37156291581162393,-0.7341979310343444,0.48826442293018785,0.5205533990245844,-0.03228897609439657,0.03228897609439657,0.06522580959601695
smooth_raw_mid_death_w15,high_chase,all_high,4258,37,0.08348715070796386,-0.0018947299879173152,-2.2191242128597395,0.2743285398719298,-2.1231494979957537,0.29508948723377443,0.2576326914044152,0.037456795829359235,0.037456795829359235,0.0643743206655865
smooth_raw_mid_death_w15,phase,phase=pp,3481,93,0.14382286332319885,0.0,0.0,0.49928495135452433,0.0,0.47172487728215173,0.5466819879345016,-0.07495711065234989,0.07495711065234989,0.13332019772949555
smooth_raw_mid_death_w15,high_phase,phase=pp,1394,37,0.1287323774785409,0.0,0.0,0.3942073686266907,0.0,0.2765922581522481,0.27116212338593976,0.0054301347663083255,0.0054301347663083255,0.08006191750154608
smooth_raw_mid_death_w15,phase,phase=mid,5050,93,0.10255331941017734,-0.0011431150468085016,-1.1023667812635114,0.33327812551801256,-1.2323120723117311,0.5172108447793021,0.5376237623762377,-0.02041291759693553,0.02041291759693553,0.04693822664789892
smooth_raw_mid_death_w15,high_phase,phase=mid,2089,37,0.07225570675533025,-0.002731603030437277,-3.642753738254164,0.25171249147080443,-3.635195255334377,0.3115251216520846,0.26807084729535663,0.043454274356727995,0.043454274356727995,0.09160607417804814
smooth_raw_mid_death_w15,phase,phase=death,1516,79,0.06302681421240547,-0.0019068412979069832,-2.9365993380800006,0.20582266862026524,-2.074996898673172,0.4298176736312344,0.40369393139841686,0.02612374223281755,0.02612374223281755,0.03372145955801965
smooth_raw_mid_death_w15,high_phase,phase=death,775,35,0.03237829948069574,-0.0030470213651206182,-8.601252698267272,0.11966252416330304,-5.600889057211238,0.2840586447044811,0.20516129032258065,0.07889735438190046,0.07889735438190046,0.09208756768093736
