segment,situation,n,matches,actual_wr,raw_mean,cal_mean,raw_bias,cal_bias,raw_abs_error,cal_abs_error,raw_brier,cal_brier,brier_delta_cal_minus_raw,brier_delta_pct,raw_logloss,cal_logloss,logloss_delta_pct,raw_ece,cal_ece
target_band,target_band=0:20,2248,20,0.3309608540925267,0.4158327366939233,0.42472487206331255,0.08487188260139661,0.09376401797078587,0.08487188260139661,0.09376401797078587,0.1380513574485332,0.14027577736689392,0.002224419918360726,1.6112988379632633,0.4195311740118285,0.42524194252565767,1.3612262610234933,0.09893069750738784,0.09376401797078586
target_band,target_band=20:40,2135,19,0.3035128805620609,0.3328999690034707,0.34173925639684954,0.029387088441409803,0.03822637583478866,0.029387088441409803,0.03822637583478866,0.08792449004115835,0.09020909658777253,0.002284606546614179,2.5983733832800526,0.2803892332341138,0.29005066207356417,3.4457203395479397,0.05997606963872072,0.07011123226448646
target_band,target_band=40+,2123,18,0.21149317004239285,0.24079693431959395,0.255411395653167,0.029303764277201105,0.04391822561077416,0.029303764277201105,0.04391822561077416,0.07668302443518972,0.08052737955165545,0.0038443551164657336,5.013306588754688,0.25867727594794443,0.27045268276409984,4.552161287845424,0.06336509638511645,0.0806594039103921
target_band,target_band=<=-40,886,11,0.9029345372460497,0.9357737140040524,0.9291481114470156,0.03283917675800274,0.026213574200965928,0.03283917675800274,0.026213574200965928,0.09248124156057898,0.09391978938385753,0.0014385478232785548,1.5555022824128582,0.3571122686856443,0.515393154393129,44.3224441126146,0.07196645984661497,0.05892068130421624
phase_x_target_band,phase=death|target_band=-20:0,202,13,1.0,0.8183799152326305,0.81581774540908,-0.18162008476736946,-0.18418225459091997,0.18162008476736946,0.18418225459091997,0.11426150007455364,0.11404617598395897,-0.0002153240905946735,-0.1884485066747577,0.3489405542244744,0.3546456113411454,1.6349653393973065,0.18162008476736957,0.18418225459092008
phase_x_target_band,phase=death|target_band=-40:-20,138,10,1.0,0.8092054387263675,0.817734244247284,-0.19079456127363248,-0.18226575575271597,0.19079456127363248,0.18226575575271597,0.12055374405934259,0.10557785057485783,-0.014975893484484762,-12.422586790098263,0.3544860660078768,0.3133478986634582,-11.60501675219711,0.19079456127363253,0.18226575575271606
phase_x_target_band,phase=death|target_band=0:20,376,19,0.23404255319148937,0.3451057696027949,0.3478121266360576,0.11106321641130551,0.11376957344456823,0.11106321641130551,0.11376957344456823,0.08430905847837605,0.08812618456124745,0.0038171260828713943,4.527539687624939,0.27058545480813134,0.27585464833564327,1.9473306616751611,0.11740983424156938,0.11376957344456827
phase_x_target_band,phase=death|target_band=20:40,361,17,0.24930747922437674,0.3499666547601495,0.3456015622054967,0.10065917553577275,0.09629408298111997,0.10065917553577275,0.09629408298111997,0.050256925754172434,0.05001013281558943,-0.0002467929385830056,-0.4910625448722684,0.1584302897332419,0.15848324714631537,0.03342631839064619,0.11300112409005869,0.11249479091707516
phase_x_target_band,phase=death|target_band=40+,414,18,0.16666666666666666,0.2276721463512019,0.23247958520168058,0.061005479684535235,0.06581291853501392,0.061005479684535235,0.06581291853501392,0.016677782174843538,0.022707646640284157,0.0060298644654406194,36.15507387148848,0.08491423868938641,0.09910232628168429,16.708726135080187,0.0740279076019658,0.08401823526970255
phase_x_target_band,phase=death|target_band=<=-40,25,2,1.0,0.945325844364465,0.9337493454766271,-0.054674155635535016,-0.06625065452337286,0.054674155635535016,0.06625065452337286,0.008627043299208034,0.00969127100022348,0.0010642277010154463,12.335949456903071,0.0597691763703524,0.07185306455913537,20.21759194723821,0.054674155635534835,0.0662506545233727
phase_x_target_band,phase=mid|target_band=-20:0,824,15,0.9672330097087378,0.7828165488602583,0.7743744121820215,-0.1844164608484795,-0.1928585975267163,0.1844164608484795,0.1928585975267163,0.08406505796591925,0.08562886438298052,0.0015638064170612753,1.8602335558910301,0.27972124653767877,0.2872738077815421,2.70003131236797,0.1848742311382248,0.1928585975267162
phase_x_target_band,phase=mid|target_band=-40:-20,556,10,1.0,0.6782873851268937,0.6747342069770881,-0.3217126148731063,-0.3252657930229119,0.3217126148731063,0.3252657930229119,0.18464900913202542,0.17979162731919207,-0.00485738181283335,-2.6306026962539972,0.5597144444258175,0.540732991048297,-3.3912745269585916,0.3217126148731062,0.32526579302291186
phase_x_target_band,phase=mid|target_band=0:20,1127,20,0.3531499556344277,0.4583676112656435,0.46431571209993866,0.10521765563121582,0.11116575646551097,0.10521765563121582,0.11116575646551097,0.1376793767390925,0.1375774327774554,-0.00010194396163709651,-0.07404446769851675,0.4178829498254158,0.4188550559876334,0.23262642388825142,0.11233854913946292,0.11116575646551102
phase_x_target_band,phase=mid|target_band=20:40,1060,19,0.3141509433962264,0.36155198507233205,0.36811834986759856,0.04740104167610565,0.05396740647137216,0.04740104167610565,0.05396740647137216,0.07497665244374077,0.07773331384095847,0.0027566613972176968,3.6766930869395322,0.25122886911697007,0.26281343614903374,4.611160760617044,0.092706574438822,0.10111043810518447
phase_x_target_band,phase=mid|target_band=40+,1029,18,0.2206025267249757,0.2568203982944116,0.2673157859333128,0.0362178715694359,0.04671325920833708,0.0362178715694359,0.04671325920833708,0.06835614120914364,0.07215857868906936,0.003802437479925716,5.562685974756404,0.24761346541933166,0.25955401316931365,4.822252994101413,0.11292566536960104,0.1268355301300218
phase_x_target_band,phase=mid|target_band=<=-40,454,11,0.8898678414096917,0.9484076984530022,0.9383653280776072,0.05853985704331055,0.048497486667915535,0.05853985704331055,0.048497486667915535,0.09170820362651788,0.09129164776227132,-0.0004165558642465622,-0.45421875881790036,0.34745979033588525,0.328149039409902,-5.557693713944801,0.05853985704331068,0.048497486667915715
phase_x_target_band,phase=pp|target_band=-20:0,562,15,0.9306049822064056,0.6356705233327995,0.6319469325678785,-0.29493445887360614,-0.29865804963852716,0.29493445887360614,0.29865804963852716,0.1269618799505691,0.1315312179843664,0.004569338033797304,3.5989842270580072,0.4243855045786058,0.43553934017428136,2.628231990805337,0.2949344588736061,0.30337763848313537
phase_x_target_band,phase=pp|target_band=-40:-20,373,10,1.0,0.6160576383565703,0.6079532191617809,-0.38394236164342965,-0.3920467808382191,0.38394236164342965,0.3920467808382191,0.2095445145372507,0.2107102734455127,0.0011657589082620101,0.5563299573059324,0.6967888712445061,0.6908243952007886,-0.8559947338229598,0.3839423616434296,0.3920467808382191
phase_x_target_band,phase=pp|target_band=0:20,745,20,0.34630872483221475,0.38718379170591755,0.4036514701295812,0.04087506687370279,0.05734274529736644,0.04087506687370279,0.05734274529736644,0.16573770197513552,0.17067749716182049,0.00493979518668497,2.980489730348773,0.49719713250669717,0.5102991824502198,2.63518212131807,0.10173557370234652,0.08971111932748498
phase_x_target_band,phase=pp|target_band=20:40,714,19,0.31512605042016806,0.2817344079514341,0.3006242263185364,-0.03339164246873394,-0.014501824101631644,0.03339164246873394,0.014501824101631644,0.12619157486029636,0.12905525293704564,0.002863678076749282,2.269310039057354,0.38534324523409574,0.397007659648829,3.0270193026601873,0.08718815917956728,0.095730549168149
phase_x_target_band,phase=pp|target_band=40+,680,18,0.225,0.2245403428325748,0.2513586779011748,-0.0004596571674252148,0.02635867790117477,0.0004596571674252148,0.02635867790117477,0.12581616139899077,0.1283933582471096,0.002577196848118829,2.048382989484133,0.38121045015233496,0.3912670630534455,2.6380737718737333,0.08829131620515783,0.09100258917760538
phase_x_target_band,phase=pp|target_band=<=-40,407,11,0.9115479115479116,0.9210940280118323,0.9185838677098438,0.009546116463920673,0.0070359561619322,0.009546116463920673,0.0070359561619322,0.09849429851045127,0.10202516839071504,0.0035308698802637706,3.584846974557729,0.3861437244071994,0.751504531415819,94.61782852214279,0.12011580136864383,0.09784304823558862
high_phase,phase=death,775,35,0.20516129032258065,0.2846377173649181,0.28517253190926467,0.07947642704233746,0.08001124158668402,0.07947642704233746,0.08001124158668402,0.032319163893730934,0.03542532084581345,0.003106156952082516,9.610882763848444,0.1191584895627178,0.1267623423231447,6.38129334160845,0.09139203223881966,0.09544023485936862
high_phase,phase=mid,2089,37,0.26807084729535663,0.30996328100604187,0.31846500458833576,0.04189243371068524,0.050394157292979136,0.04189243371068524,0.050394157292979136,0.07171551981549738,0.07498730978576752,0.003271789970270139,4.562178422031211,0.24944799290592656,0.2612079089847772,4.71437590732013,0.0897679199763139,0.1012546808166063
high_phase,phase=pp,1394,37,0.27116212338593976,0.25383486399101496,0.276592251480799,-0.0173272593949248,0.005430128094859266,0.0173272593949248,0.005430128094859266,0.12600844634258634,0.12873237747854024,0.0027239311359539,2.1617051991484706,0.38332724763323683,0.3942073686266907,2.838337493781252,0.06615683610387146,0.080061910830097
high_phase_over,phase=death|over=16,222,35,0.2702702702702703,0.3611991495756578,0.36842982108676126,0.09092887930538751,0.09815955081649097,0.09092887930538751,0.09815955081649097,0.040853233163980915,0.049187695976562834,0.00833446281258192,20.400987062953362,0.15300886791289955,0.17883617810325864,16.879616549454703,0.11496123036468466,0.13322465639602635
high_phase_over,phase=death|over=17,217,34,0.2488479262672811,0.3376770370666016,0.3430860626594784,0.08882911079932052,0.09423813639219727,0.08882911079932052,0.09423813639219727,0.03738194189210379,0.0400070620877267,0.0026251201956229084,7.022428645359952,0.13104141174127212,0.14070993982497554,7.378223383912359,0.10264896152258685,0.11186039291530273
high_phase_over,phase=death|over=18,194,33,0.19072164948453607,0.26406254880925073,0.2615899578966823,0.07334089932471466,0.07086830841214625,0.07334089932471466,0.07086830841214625,0.029480870791344333,0.030400323083366872,0.0009194522920225393,3.118809815795852,0.10481831043717353,0.10469944400057817,-0.11340235890046418,0.08118777881294299,0.07974703403348406
high_phase_over,phase=death|over=19,142,25,0.056338028169014086,0.11199977633498802,0.09872651069968957,0.05566174816597393,0.04238848253067549,0.05566174816597393,0.04238848253067549,0.015118055853030898,0.013772957728863482,-0.0013450981241674154,-8.897295639357937,0.06766987437869632,0.05417911748860478,-19.93613408323197,0.05671672356245466,0.04332744966682572
high_phase_over,phase=mid|over=7,231,37,0.2727272727272727,0.3097278882244838,0.3140349953484381,0.03700061549721112,0.04130772262116539,0.03700061549721112,0.04130772262116539,0.08137283841648572,0.08563235166170016,0.0042595132452144385,5.2345639258805585,0.2765374456608005,0.29363733463015496,6.183570882595436,0.09894972364101966,0.11102340036105758
high_phase_over,phase=mid|over=8,228,37,0.2675438596491228,0.29300597386030597,0.30042886391727364,0.025462114211183162,0.03288500426815083,0.025462114211183162,0.03288500426815083,0.07939261770583185,0.08326278850496796,0.0038701707991361106,4.874723760181325,0.2756429238067896,0.29002398517738465,5.217279359826901,0.08843652265026943,0.10076621780713622
