segment,situation,model,pred_bin,n,matches,mean_pred,actual_wr,bias,abs_error
phase,phase=pp,raw,"[0.7, 0.8)",394,36,0.7521421896635432,0.934010152284264,-0.1818679626207208,0.1818679626207208
phase,phase=pp,raw,"[0.8, 0.9)",260,24,0.8424818005406377,0.9153846153846154,-0.07290281484397765,0.07290281484397765
phase,phase=pp,raw,"[0.9, 1.0)",345,13,0.9659505287545527,0.8956521739130435,0.07029835484150915,0.07029835484150915
phase,phase=pp,calibrated,"[0.0, 0.1)",467,22,0.032998312377162387,0.07922912205567452,-0.04623080967851213,0.04623080967851213
phase,phase=pp,calibrated,"[0.1, 0.2)",325,34,0.1629834118156352,0.05846153846153846,0.10452187335409674,0.10452187335409674
phase,phase=pp,calibrated,"[0.2, 0.3)",490,39,0.26544250795623503,0.17959183673469387,0.08585067122154116,0.08585067122154116
phase,phase=pp,calibrated,"[0.3, 0.4)",221,34,0.3527949953325561,0.5248868778280543,-0.17209188249549823,0.17209188249549823
phase,phase=pp,calibrated,"[0.4, 0.5)",375,43,0.44508053424971467,0.6106666666666667,-0.16558613241695203,0.16558613241695203
phase,phase=pp,calibrated,"[0.5, 0.6)",335,40,0.5501063959562645,0.7611940298507462,-0.2110876338944817,0.2110876338944817
phase,phase=pp,calibrated,"[0.6, 0.7)",277,35,0.6406205503216611,0.9169675090252708,-0.2763469587036097,0.2763469587036097
phase,phase=pp,calibrated,"[0.7, 0.8)",518,37,0.7650420479815405,0.9131274131274131,-0.14808536514587256,0.14808536514587256
phase,phase=pp,calibrated,"[0.8, 0.9)",125,20,0.8174473026419093,0.952,-0.1345526973580906,0.1345526973580906
phase,phase=pp,calibrated,"[0.9, 1.0)",180,12,0.9474696228840865,0.8722222222222222,0.0752474006618643,0.0752474006618643
chase_bucket,chase_bucket=high,raw,"[0.0, 0.1)",1610,27,0.025447861795304234,0.0006211180124223603,0.024826743782881876,0.024826743782881876
chase_bucket,chase_bucket=high,raw,"[0.1, 0.2)",583,28,0.14785042016486172,0.08747855917667238,0.060371860988189335,0.060371860988189335
chase_bucket,chase_bucket=high,raw,"[0.2, 0.3)",536,26,0.24907428632000245,0.13246268656716417,0.11661159975283827,0.11661159975283827
chase_bucket,chase_bucket=high,raw,"[0.3, 0.4)",372,28,0.3473532834843055,0.2849462365591398,0.06240704692516569,0.06240704692516569
chase_bucket,chase_bucket=high,raw,"[0.4, 0.5)",203,18,0.44741085899287303,0.4039408866995074,0.04346997229336563,0.04346997229336563
chase_bucket,chase_bucket=high,raw,"[0.5, 0.6)",185,18,0.5490339477574901,0.4918918918918919,0.05714205586559823,0.05714205586559823
chase_bucket,chase_bucket=high,raw,"[0.6, 0.7)",162,12,0.6518670211416412,0.654320987654321,-0.002453966512679817,0.002453966512679817
chase_bucket,chase_bucket=high,raw,"[0.7, 0.8)",165,11,0.7469469664789579,0.896969696969697,-0.1500227304907391,0.1500227304907391
chase_bucket,chase_bucket=high,raw,"[0.8, 0.9)",134,11,0.8556772493173805,0.9925373134328358,-0.13686006411545526,0.13686006411545526
chase_bucket,chase_bucket=high,raw,"[0.9, 1.0)",308,10,0.9615619837645423,1.0,-0.03843801623545773,0.03843801623545773
chase_bucket,chase_bucket=high,calibrated,"[0.0, 0.1)",1492,26,0.023581721946791073,0.0,0.023581721946791073,0.023581721946791073
chase_bucket,chase_bucket=high,calibrated,"[0.1, 0.2)",537,28,0.15945686031961095,0.07262569832402235,0.0868311619955886,0.0868311619955886
chase_bucket,chase_bucket=high,calibrated,"[0.2, 0.3)",589,27,0.2590147813338447,0.11884550084889643,0.14016928048494826,0.14016928048494826
