segment,feature,importance_brier_delta,importance_std,baseline_brier,n,method
innings_1_death,batting_team_situation_wr,0.0036130032218855274,7.675196663563255e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,batting_team_win_rate,0.0030916480608807195,0.0002000934829331502,0.18806984161179188,7167,saved_model_permutation
innings_1_death,bowling_team_win_rate,0.0026342853366759927,8.150144517009295e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,batting_won_toss,0.00232330170378367,0.00014848421443122706,0.18806984161179188,7167,saved_model_permutation
innings_1_death,projected_score,0.0014159999382895583,2.660535501786132e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,dls_pressure_index,0.0007212450120825109,5.0027053901752216e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,score_per_wicket,0.0002623753675386753,1.9195380981967824e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,projected_vs_venue_avg,0.00023209441019529653,5.633542402926073e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,runs_last_18,0.00010541965756954985,2.7490987573791648e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,pressure_index,7.021467181067553e-06,4.7193248573773605e-06,0.18806984161179188,7167,saved_model_permutation
innings_1_death,boundary_pct_last_18,5.980735848509777e-06,3.316832253019708e-07,0.18806984161179188,7167,saved_model_permutation
innings_1_death,is_powerplay,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,run_rate_diff,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,required_run_rate,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,chase_difficulty,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,rrr_times_wickets,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,inn1_defendability,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,target_above_par,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,inn1_wickets_lost,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,inn1_death_rr,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,inn1_pp_runs,0.0,0.0,0.18806984161179188,7167,saved_model_permutation
innings_1_death,runs_last_12,-2.029691045150883e-05,7.664322298442383e-06,0.18806984161179188,7167,saved_model_permutation
innings_1_death,wickets_last_12,-3.085310669150021e-05,3.510705430888328e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,wickets_times_balls,-0.00012626001083083926,1.6048997955556144e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,overs_remaining,-0.0003035142699145399,6.351875426394149e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_middle,expected_final_score,0.012480510708106893,0.00010080040289685288,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,score_vs_par,0.010287439522176159,0.0004224273329930389,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,situation_advantage,0.00652006988561428,6.600321655363117e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,venue_chase_success,0.006419910621029229,3.583786140959333e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,team_strength_diff,0.006082925622268157,0.00017244176490326113,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,bowling_team_situation_wr,0.005142382700571796,8.064412116504105e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,batting_team_situation_wr,0.003742735917380738,9.677944210570444e-06,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,resource_win_prob,0.003325488249187672,7.784534481254657e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,batting_team_win_rate,0.0031540630306642198,9.689094989116798e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,batting_won_toss,0.0022337240134606834,7.271680345935505e-06,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,bowling_team_win_rate,0.0021928182788132217,1.5424133868735534e-07,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,projected_score,0.0018934653687631975,0.00014921451248814388,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,score_per_wicket,0.00042142807295561524,3.301292223784058e-06,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,projected_vs_venue_avg,0.00036409928083656895,2.842672637455579e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,overs_remaining,0.00034384239061481525,6.922564440019208e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,dls_pressure_index,0.00013121359479692507,6.35623373553551e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,wickets_times_balls,1.9449335199941964e-05,3.5245782056284036e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,runs_last_18,1.2875178946075705e-05,2.1158898046991226e-06,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,is_powerplay,3.2979362715040983e-06,5.257008709874667e-07,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,runs_last_12,7.824159548863729e-07,5.6014350040545224e-06,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,run_rate_diff,0.0,0.0,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,required_run_rate,0.0,0.0,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,chase_difficulty,0.0,0.0,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,rrr_times_wickets,0.0,0.0,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,inn1_defendability,0.0,0.0,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,target_above_par,0.0,0.0,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,inn1_wickets_lost,0.0,0.0,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,inn1_death_rr,0.0,0.0,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,inn1_pp_runs,0.0,0.0,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,boundary_pct_last_18,-5.262683589205008e-06,3.336022759883872e-06,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,pressure_index,-1.688281453600393e-05,2.3767499181953644e-06,0.19683010520644556,10000,saved_model_permutation
innings_1_middle,wickets_last_12,-2.853074171199621e-05,1.7512798628993576e-05,0.19683010520644556,10000,saved_model_permutation
innings_1_powerplay,situation_advantage,0.006769466835178969,0.0001438126144277102,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,venue_chase_success,0.006567078064897064,0.0001967354736717719,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,expected_final_score,0.006312050888108392,0.00019584534684234656,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,team_strength_diff,0.005936698148962888,0.00011623563497381584,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,score_vs_par,0.004438268350503802,1.9558697945745718e-05,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,bowling_team_situation_wr,0.004305697059812777,0.0003304786685375122,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,batting_team_situation_wr,0.003837969769223515,2.862198058145582e-06,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,batting_team_win_rate,0.003117031815600718,0.0003127890045578896,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,projected_score,0.002284112725853188,5.285301877566706e-05,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,batting_won_toss,0.002162082774303631,8.311324947748999e-05,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,bowling_team_win_rate,0.001773047158054597,7.748252719042004e-05,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,projected_vs_venue_avg,0.001520182544676535,7.917085195971452e-05,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,resource_win_prob,0.0005737440440020808,9.126200947685847e-05,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,score_per_wicket,0.000220996357412781,5.945501664286756e-06,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,wickets_times_balls,0.00012120381637925615,6.732826251659718e-06,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,overs_remaining,6.972564106408341e-05,2.8941663899856307e-05,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,runs_last_12,4.9691312410463095e-05,3.933902712055515e-07,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,wickets_last_12,3.258767949046448e-05,3.836449998823044e-05,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,dls_pressure_index,2.473467102169502e-05,8.681215941538922e-06,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,runs_last_18,8.750036584792564e-06,1.4434409676855608e-05,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,pressure_index,2.976617421782124e-06,2.7759857115922104e-06,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,is_powerplay,0.0,0.0,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,run_rate_diff,0.0,0.0,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,required_run_rate,0.0,0.0,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,chase_difficulty,0.0,0.0,0.2199032264256085,5845,saved_model_permutation
innings_1_powerplay,rrr_times_wickets,0.0,0.0,0.2199032264256085,5845,saved_model_permutation
