method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta,cluster_winner_brier_delta,cluster_winner_ece_delta,cluster_winner_log_loss_delta
regime_cluster_features,season_2025,innings_2_middle,621,0.13831580051492598,0.06122381263712643,0.43603325148748684,0.001038,0.002207,0.000836,0.0,0.0,0.0
regime_cluster_features,season_2025,innings_2_death,307,0.06854435149224836,0.06928314038647078,0.22982768477257232,-0.000665,0.002859,-0.001475,0.0,0.0,0.0
guarded_regime_phase_calibration,season_2025,overall,2455,0.17932440424433477,0.06553033398985834,0.7296565366152412,0.011206,0.035517,0.225019,0.011319,0.027365,0.226116
guarded_regime_phase_calibration,season_2025,innings_1,1247,0.21325246895703293,0.10399747667032537,0.7162490189054329,0.004609,0.027457,0.110151,0.005512,0.022322,0.112448
guarded_regime_phase_calibration,season_2025,innings_1_powerplay,280,0.22789919480488008,0.0678800112705269,0.6464280007152093,-0.000669,0.033129,-0.000941,0.000575,0.00981,0.001789
guarded_regime_phase_calibration,season_2025,innings_1_middle,631,0.21580017751790107,0.11608515174403072,0.7742809230231847,0.010148,0.00131,0.173657,0.0111,0.002495,0.176522
guarded_regime_phase_calibration,season_2025,innings_1_death,336,0.19626232806624425,0.14968350619351956,0.6654506665094841,-0.001395,0.015248,0.083466,-0.000867,0.016886,0.084333
guarded_regime_phase_calibration,season_2025,innings_2,1208,0.14430097982650808,0.0975234872955151,0.7434969129266078,0.018015,0.0442,0.343594,0.017313,0.041806,0.343454
guarded_regime_phase_calibration,season_2025,innings_2_powerplay,280,0.18117968417076338,0.157103357829023,0.9459551547939211,0.016692,0.03958,0.439474,0.015234,0.030657,0.439105
guarded_regime_phase_calibration,season_2025,innings_2_middle,621,0.15778847255099146,0.09834838558153845,0.8423123333605936,0.020511,0.039332,0.407115,0.019473,0.037125,0.406279
guarded_regime_phase_calibration,season_2025,innings_2_death,307,0.08338316159101737,0.05981251878249216,0.3589604835704089,0.014174,-0.006612,0.127658,0.014839,-0.009471,0.129133
v18A_hard_pp_fallback,season_2025,overall,2455,0.16783935092374802,0.037702329457417805,0.5034984134308751,-0.000279,0.007689,-0.00114,-0.000166,-0.000463,-4.2e-05
v18A_hard_pp_fallback,season_2025,innings_1,1247,0.20774012904200262,0.08167551813017647,0.6038012718318283,-0.000903,0.005135,-0.002297,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2025,innings_1_powerplay,280,0.2273246725020469,0.05806971061869126,0.644639203409873,-0.001243,0.023319,-0.00273,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2025,innings_1_middle,631,0.20470007153808595,0.1135905960950437,0.5977586262153028,-0.000952,-0.001185,-0.002865,0.0,0.0,0.0
