row_key,match_id,season,date,innings,over,ball,phase_label,batting_team,bowling_team,winner,is_winner,overs_remaining,resource_win_prob,regime_id,regime_label,stability_flag,regime_confidence,regime_cluster_win_rate,regime_cluster_size,method,split,predicted_prob,predicted_label,prediction_error,correct,raw_predicted_prob,calibration_key,calibration_source,calibrated_predicted_prob,route_source,route_reason,baseline_predicted_prob,cluster_predicted_prob,dominant_cluster_threshold,regime_confidence_threshold,pp_influence_cap,confidence_strength,wrong_direction
1359497:2:4:6,1359497,2023,2023-04-16,2,4,6,powerplay,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,1,15.0,0.21682444804970202,1,pressure_state,stable,0.15312294990935188,0.5001420858198352,7038,regime_cluster_features,holdout,0.1464751551281269,0,0.8535248448718731,False,0.1464751551281269,,,,,,,,,,,0.8535248448718731,false_negative
1359533:2:3:6,1359533,2023,2023-05-13,2,3,6,powerplay,Delhi Capitals,Punjab Kings,Punjab Kings,0,16.0,0.7790507016393166,1,pressure_state,stable,0.17764680757679144,0.5001420858198352,7038,regime_cluster_features,holdout,0.8534567586575423,1,0.8534567586575423,False,0.8534567586575423,,,,,,,,,,,0.8534567586575423,false_positive
1473473:2:4:6,1473473,2025,2025-04-19,2,4,6,powerplay,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,0,15.0,0.7176969384231313,1,pressure_state,stable,0.18628059416900491,0.5001420858198352,7038,regime_cluster_features,holdout,0.8517245215364679,1,0.8517245215364679,False,0.8517245215364679,,,,,,,,,,,0.8517245215364679,false_positive
1473510:2:2:6,1473510,2025,2025-06-01,2,2,6,powerplay,Punjab Kings,Mumbai Indians,Punjab Kings,1,17.0,0.2592605222426585,1,pressure_state,stable,0.15879242833971216,0.5001420858198352,7038,regime_cluster_features,holdout,0.15084834160085442,0,0.8491516583991456,False,0.15084834160085442,,,,,,,,,,,0.8491516583991456,false_negative
1426298:2:3:6,1426298,2024,2024-05-11,2,3,6,powerplay,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0,16.0,0.8483308493063382,1,pressure_state,stable,0.18792755368489242,0.5001420858198352,7038,regime_cluster_features,holdout,0.8485214056921507,1,0.8485214056921507,False,0.8485214056921507,,,,,,,,,,,0.8485214056921507,false_positive
1473464:2:2:6,1473464,2025,2025-04-12,2,2,6,powerplay,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,1,17.0,0.1420969557342447,1,pressure_state,stable,0.10108017835842496,0.5001420858198352,7038,regime_cluster_features,holdout,0.15230482314661148,0,0.8476951768533885,False,0.15230482314661148,,,,,,,,,,,0.8476951768533885,false_negative
1359504:2:3:6,1359504,2023,2023-04-22,2,3,6,powerplay,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,0,16.0,0.9173873939287001,1,pressure_state,stable,0.17769731961000343,0.5001420858198352,7038,regime_cluster_features,holdout,0.8469320920284527,1,0.8469320920284527,False,0.8469320920284527,,,,,,,,,,,0.8469320920284527,false_positive
1359508:2:3:6,1359508,2023,2023-04-24,2,3,6,powerplay,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,0,16.0,0.7766733012544634,4,pressure_state,stable,0.18142594799359124,0.8426938369781312,4024,regime_cluster_features,holdout,0.8425627315244504,1,0.8425627315244504,False,0.8425627315244504,,,,,,,,,,,0.8425627315244504,false_positive
1359532:2:4:6,1359532,2023,2023-05-13,2,4,6,powerplay,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,1,15.0,0.2189583159564588,1,pressure_state,stable,0.17870584272762702,0.5001420858198352,7038,regime_cluster_features,holdout,0.1586106751231724,0,0.8413893248768276,False,0.1586106751231724,,,,,,,,,,,0.8413893248768276,false_negative
1359508:2:4:6,1359508,2023,2023-04-24,2,4,6,powerplay,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,0,15.0,0.7512986030475899,4,pressure_state,stable,0.19973238138150382,0.8426938369781312,4024,regime_cluster_features,holdout,0.8381909974226759,1,0.8381909974226759,False,0.8381909974226759,,,,,,,,,,,0.8381909974226759,false_positive
