method,split,bin_low,bin_high,n,mean_predicted,mean_actual,calibration_gap
v18B_confidence_cap,holdout_innings_2_powerplay,0.0,0.1,205,0.0511587934699929,0.12682926829268293,-0.07567047482269003
v18B_confidence_cap,holdout_innings_2_powerplay,0.1,0.2,83,0.14618920001464494,0.20481927710843373,-0.058630077093788785
v18B_confidence_cap,holdout_innings_2_powerplay,0.2,0.3,92,0.24682178541989064,0.2717391304347826,-0.024917345014891956
v18B_confidence_cap,holdout_innings_2_powerplay,0.3,0.4,78,0.3425801216639832,0.5256410256410257,-0.18306090397704244
v18B_confidence_cap,holdout_innings_2_powerplay,0.4,0.5,81,0.45147221407028737,0.6049382716049383,-0.15346605753465092
v18B_confidence_cap,holdout_innings_2_powerplay,0.5,0.6,80,0.5460081763548275,0.75,-0.20399182364517254
v18B_confidence_cap,holdout_innings_2_powerplay,0.6,0.7,67,0.647922369063567,0.6716417910447762,-0.023719421981209132
v18B_confidence_cap,holdout_innings_2_powerplay,0.7,0.8,66,0.7509692085024158,0.7575757575757576,-0.006606549073341794
v18B_confidence_cap,holdout_innings_2_powerplay,0.8,0.9,87,0.8480280474780965,0.8390804597701149,0.008947587707981541
v18B_confidence_cap,holdout_innings_2_powerplay,0.9,1.0,97,0.9497711643559623,0.9278350515463918,0.02193611280957053
v18C_dominant_cluster_only,holdout_innings_2_powerplay,0.0,0.1,205,0.049578272917759986,0.12682926829268293,-0.07725099537492294
v18C_dominant_cluster_only,holdout_innings_2_powerplay,0.1,0.2,84,0.1451080754838386,0.20238095238095238,-0.05727287689711377
v18C_dominant_cluster_only,holdout_innings_2_powerplay,0.2,0.3,97,0.24641961697995168,0.28865979381443296,-0.04224017683448128
v18C_dominant_cluster_only,holdout_innings_2_powerplay,0.3,0.4,73,0.3447847990191671,0.5068493150684932,-0.1620645160493261
v18C_dominant_cluster_only,holdout_innings_2_powerplay,0.4,0.5,70,0.4520253420737525,0.6428571428571429,-0.1908318007833904
v18C_dominant_cluster_only,holdout_innings_2_powerplay,0.5,0.6,88,0.5461555052095235,0.7272727272727273,-0.1811172220632038
v18C_dominant_cluster_only,holdout_innings_2_powerplay,0.6,0.7,69,0.6518413093691314,0.6666666666666666,-0.014825357297535202
v18C_dominant_cluster_only,holdout_innings_2_powerplay,0.7,0.8,61,0.7491383744862604,0.7704918032786885,-0.021353428792428075
v18C_dominant_cluster_only,holdout_innings_2_powerplay,0.8,0.9,89,0.851424569961405,0.8202247191011236,0.03119985086028143
