method,split,bin_low,bin_high,n,mean_predicted,mean_actual
guarded_regime_phase_calibration,season_2026,0.5,0.6,45,0.5544754963418768,0.7111111111111111
guarded_regime_phase_calibration,season_2026,0.6,0.7,54,0.6597938159575447,0.6851851851851852
guarded_regime_phase_calibration,season_2026,0.7,0.8,55,0.7557548068901139,0.8181818181818182
guarded_regime_phase_calibration,season_2026,0.8,0.9,103,0.859842689681809,0.7475728155339806
guarded_regime_phase_calibration,season_2026,0.9,1.0,161,0.9845015689689394,0.906832298136646
v18A_hard_pp_fallback,season_2026,0.0,0.1,82,0.0419557424490849,0.0
v18A_hard_pp_fallback,season_2026,0.1,0.2,37,0.15090576802288316,0.02702702702702703
v18A_hard_pp_fallback,season_2026,0.2,0.3,81,0.25709792356171995,0.037037037037037035
v18A_hard_pp_fallback,season_2026,0.3,0.4,94,0.34708906169358916,0.13829787234042554
v18A_hard_pp_fallback,season_2026,0.4,0.5,80,0.44639766027498384,0.4
v18A_hard_pp_fallback,season_2026,0.5,0.6,63,0.5461070180617706,0.6984126984126984
v18A_hard_pp_fallback,season_2026,0.6,0.7,66,0.661242999554454,0.7575757575757576
v18A_hard_pp_fallback,season_2026,0.7,0.8,106,0.7492722788795094,0.7830188679245284
v18A_hard_pp_fallback,season_2026,0.8,0.9,102,0.843801564074138,0.7843137254901961
v18A_hard_pp_fallback,season_2026,0.9,1.0,87,0.953400226425058,1.0
v18B_confidence_cap,season_2026,0.0,0.1,82,0.04234957830768408,0.0
v18B_confidence_cap,season_2026,0.1,0.2,37,0.1506014637604446,0.02702702702702703
v18B_confidence_cap,season_2026,0.2,0.3,80,0.25668906623931625,0.0375
v18B_confidence_cap,season_2026,0.3,0.4,99,0.34838479746992296,0.15151515151515152
v18B_confidence_cap,season_2026,0.4,0.5,75,0.44891217360228436,0.38666666666666666
v18B_confidence_cap,season_2026,0.5,0.6,63,0.5462080219153321,0.6984126984126984
v18B_confidence_cap,season_2026,0.6,0.7,67,0.6585076381823679,0.7611940298507462
v18B_confidence_cap,season_2026,0.7,0.8,107,0.7492368438828617,0.7757009345794392
v18B_confidence_cap,season_2026,0.8,0.9,101,0.844946396255511,0.7920792079207921
v18B_confidence_cap,season_2026,0.9,1.0,87,0.9535672878312628,1.0
v18C_dominant_cluster_only,season_2026,0.0,0.1,82,0.0419557424490849,0.0
v18C_dominant_cluster_only,season_2026,0.1,0.2,37,0.15090576802288316,0.02702702702702703
v18C_dominant_cluster_only,season_2026,0.2,0.3,81,0.25709792356171995,0.037037037037037035
v18C_dominant_cluster_only,season_2026,0.3,0.4,94,0.34708906169358916,0.13829787234042554
v18C_dominant_cluster_only,season_2026,0.4,0.5,80,0.44639766027498384,0.4
v18C_dominant_cluster_only,season_2026,0.5,0.6,63,0.5461070180617706,0.6984126984126984
v18C_dominant_cluster_only,season_2026,0.6,0.7,66,0.661242999554454,0.7575757575757576
v18C_dominant_cluster_only,season_2026,0.7,0.8,106,0.7492722788795094,0.7830188679245284
v18C_dominant_cluster_only,season_2026,0.8,0.9,102,0.843801564074138,0.7843137254901961
v18C_dominant_cluster_only,season_2026,0.9,1.0,87,0.953400226425058,1.0
