actual,raw_prob,phase_prob,resource_prob,rrr,overs_remaining
1,0.9673487113255225,0.9695273631840796,0.999,5.379310344827586,9.666666666666666
1,0.9675783330324315,0.9695273631840796,0.999,5.368421052631579,9.5
1,0.9692181967689399,0.9695273631840796,0.999,5.357142857142858,9.333333333333334
1,0.9729288358558024,0.9695273631840796,0.999,4.800000000000001,9.166666666666666
1,0.9726154535497789,0.9695273631840796,0.999,4.888888888888888,9.0
1,0.9719489276102649,0.9695273631840796,0.999,4.981132075471699,8.833333333333334
1,0.9719809205415377,0.9695273631840796,0.999,4.981132075471699,8.833333333333334
1,0.971826145430269,0.9695273631840796,0.999,5.076923076923077,8.666666666666666
1,0.972056915388339,0.9695273631840796,0.999,5.0588235294117645,8.5
1,0.9717517247501224,0.9695273631840796,0.999,5.16,8.333333333333334
1,0.9741910573294655,0.9695273631840796,0.999,4.775510204081632,8.166666666666666
1,0.9592675580398367,0.9657534246575342,0.999,4.875,8.0
1,0.9625554370346183,0.9695273631840796,0.999,4.468085106382978,7.833333333333333
1,0.9639836633580554,0.9695273631840796,0.999,4.434782608695652,7.666666666666667
1,0.9636754057682312,0.9695273631840796,0.999,4.533333333333333,7.5
1,0.9640966706779576,0.9695273631840796,0.999,4.636363636363637,7.333333333333333
1,0.9643001773069726,0.9695273631840796,0.999,4.604651162790698,7.166666666666667
1,0.9655554653091694,0.9695273631840796,0.999,4.571428571428571,7.0
1,0.9662434668281918,0.9695273631840796,0.999,4.682926829268293,6.833333333333333
1,0.9659568988133784,0.9695273631840796,0.999,4.800000000000001,6.666666666666667
1,0.9658655523963242,0.9695273631840796,0.999,4.923076923076923,6.5
1,0.9671375173869341,0.9695273631840796,0.999,4.894736842105263,6.333333333333333
1,0.9662060642610559,0.9695273631840796,0.999,5.027027027027027,6.166666666666667
1,0.9671239603756273,0.9695273631840796,0.999,5.0,6.0
1,0.9663573569711363,0.9695273631840796,0.999,5.142857142857142,5.833333333333333
1,0.9659770069611973,0.9695273631840796,0.999,5.294117647058823,5.666666666666667
1,0.9645636221560199,0.9695273631840796,0.999,5.454545454545454,5.5
1,0.964802822557154,0.9695273631840796,0.999,5.4375,5.333333333333333
1,0.9537076598172093,0.9550381372942593,0.999,5.612903225806451,5.166666666666667
1,0.9659532585569304,0.9695273631840796,0.999,5.571428571428571,9.333333333333334
1,0.9665243040534761,0.9695273631840796,0.999,5.5636363636363635,9.166666666666666
1,0.9662990564947123,0.9695273631840796,0.999,5.666666666666666,9.0
1,0.9661513108692474,0.9695273631840796,0.999,5.773584905660377,8.833333333333334
1,0.9663080233557386,0.9695273631840796,0.999,5.769230769230769,8.666666666666666
1,0.967199657345615,0.9695273631840796,0.999,5.764705882352941,8.5
1,0.9699161629493153,0.9695273631840796,0.999,5.4,8.333333333333334
1,0.9698302526633893,0.9695273631840796,0.999,5.387755102040816,8.166666666666666
1,0.9699017197824527,0.9695273631840796,0.999,5.5,8.0
1,0.974649684722489,0.9695273631840796,0.999,4.8510638297872335,7.833333333333333
1,0.9749340735289717,0.9695273631840796,0.999,4.826086956521739,7.666666666666667
1,0.9773306663810403,0.9695273631840796,0.999,4.133333333333333,7.5
1,0.9777255045522386,0.9695273631840796,0.999,4.090909090909091,7.333333333333333
1,0.9779777680166866,0.9695273631840796,0.999,4.186046511627907,7.166666666666667
1,0.9785806184117942,0.9695273631840796,0.999,4.0,7.0
1,0.9795875167268182,0.9721389753897387,0.999,3.512195121951219,6.833333333333333
1,0.980226002239883,0.9809523809523809,0.999,3.4499999999999997,6.666666666666667
1,0.9821085269145198,0.9836065573770492,0.999,2.923076923076923,6.5
1,0.9823663579199058,0.99,0.999,3.0,6.333333333333333
1,0.9825806487612005,0.99,0.999,2.9189189189189193,6.166666666666667
1,0.9842164864948642,0.99,0.999,2.0,6.0
1,0.9844464230119077,0.99,0.999,1.0285714285714285,5.833333333333333
1,0.9845379352198748,0.99,0.999,1.0588235294117647,5.666666666666667
1,0.9845481552313307,0.99,0.999,1.0909090909090908,5.5
1,0.9599452422711914,0.9657534246575342,0.999,5.755102040816326,8.166666666666666
1,0.9600138236450755,0.9657534246575342,0.999,5.875,8.0
1,0.9625263724920345,0.9695273631840796,0.999,5.7073170731707314,6.833333333333333
1,0.9651025260998194,0.9695273631840796,0.999,5.4,6.666666666666667
1,0.9639776031232277,0.9695273631840796,0.999,5.538461538461538,6.5
1,0.9643330888008289,0.9695273631840796,0.999,5.526315789473684,6.333333333333333
1,0.9651469781175845,0.9695273631840796,0.999,5.513513513513514,6.166666666666667
1,0.966249535793447,0.9695273631840796,0.999,5.5,6.0
1,0.9722270886717759,0.9695273631840796,0.999,4.628571428571429,5.833333333333333
1,0.9719986549872905,0.9695273631840796,0.999,4.764705882352941,5.666666666666667
1,0.9728761294185426,0.9695273631840796,0.999,4.545454545454545,5.5
1,0.9756149718184985,0.9695273631840796,0.999,3.5625,5.333333333333333
1,0.8417342520351356,0.8441660140955364,0.9577340460663025,5.042016806722689,19.833333333333332
1,0.8453328739633053,0.8441660140955364,0.9547702802221526,5.033898305084746,19.666666666666668
1,0.8434613446061487,0.8441660140955364,0.9519501468172958,5.076923076923077,19.5
1,0.835380546845187,0.8441660140955364,0.9490780907348909,5.120689655172414,19.333333333333332
1,0.8322805779877386,0.8441660140955364,0.9461510972475854,5.165217391304348,19.166666666666668
1,0.8536189361743582,0.8441660140955364,0.958908721799535,5.0,19.0
1,0.8432707532990421,0.8441660140955364,0.9464979586774519,5.044247787610619,18.833333333333332
1,0.8416409903958149,0.8441660140955364,0.9436225217456484,5.089285714285714,18.666666666666668
1,0.8686200186445987,0.8459214501510574,0.975504072015874,4.918918918918918,18.5
1,0.8697625581112094,0.8459214501510574,0.9773666289743307,4.909090909090909,18.333333333333332
1,0.8739637881424454,0.8459214501510574,0.9820297944486579,4.7889908256880735,18.166666666666668
1,0.8847502335872217,0.8479657387580299,0.9877596998590777,4.611111111111111,18.0
1,0.8934760116293613,0.8479657387580299,0.9920032852861986,4.485981308411215,17.833333333333332
1,0.9104714851134181,0.887459807073955,0.9939086474563424,4.471698113207546,17.666666666666668
1,0.9109982403580772,0.887459807073955,0.9958176476176503,4.457142857142857,17.5
1,0.911548145560142,0.887459807073955,0.997730321998567,4.4423076923076925,17.333333333333332
1,0.9430093728490041,0.9259259259259259,0.999,4.252427184466019,17.166666666666668
1,0.9489219521847096,0.9259259259259259,0.999,3.9411764705882355,17.0
1,0.9516684519341927,0.9259259259259259,0.999,3.801980198019802,16.833333333333332
1,0.9512725204430548,0.9259259259259259,0.999,3.84,16.666666666666668
1,0.9507548724829445,0.9259259259259259,0.999,3.878787878787879,16.5
1,0.9539329785379267,0.9378531073446328,0.999,3.8571428571428577,16.333333333333332
1,0.9560598296213249,0.9378531073446328,0.999,3.711340206185567,16.166666666666668
1,0.9572607183777246,0.9378531073446328,0.999,3.6875,16.0
1,0.959942618852994,0.9378531073446328,0.999,3.473684210526316,15.833333333333334
1,0.9598651131755414,0.9378531073446328,0.999,3.5106382978723403,15.666666666666666
1,0.960126111418272,0.9378531073446328,0.999,3.548387096774194,15.5
1,0.9610848312436853,0.9378531073446328,0.999,3.521739130434783,15.333333333333334
1,0.9638131809903505,0.9378531073446328,0.999,3.296703296703297,15.166666666666666
1,0.9668144409680745,0.9378531073446328,0.999,3.0666666666666664,15.0
1,0.9484512402856244,0.9259259259259259,0.999,3.1011235955056184,14.833333333333334
1,0.9484270726618371,0.9259259259259259,0.999,3.1363636363636362,14.666666666666666
1,0.9489778967369531,0.9259259259259259,0.999,3.1034482758620694,14.5
1,0.9529198439751698,0.9378531073446328,0.999,2.86046511627907,14.333333333333334
1,0.9540098875252568,0.9378531073446328,0.999,2.8941176470588235,14.166666666666666
1,0.9334038051833178,0.887459807073955,0.999,2.9285714285714284,14.0
1,0.9362396757956526,0.9550381372942593,0.999,2.891566265060241,13.833333333333334
1,0.9386129298399446,0.9550381372942593,0.999,2.8536585365853657,13.666666666666666
1,0.9397955513345181,0.9550381372942593,0.999,2.814814814814815,13.5
1,0.9414887647081142,0.9550381372942593,0.999,2.7750000000000004,13.333333333333334
