candidate,passed_guardrails,brier,brier_delta_pct,logloss,logloss_delta_pct
recent_2021_global_isotonic_blend_0.25,False,0.11212704837225344,0.3372646787283648,0.37551781155000313,0.32238193973076135
full_global_isotonic_blend_0.75,False,0.1120845972467753,0.29927714695218605,0.37566707144999834,0.3622578343888521
full_global_symmetric_isotonic,False,0.1122740850304715,0.4688409246678883,0.37596107636173626,0.4408034376607254
recent_2022_global_isotonic_blend_0.50,False,0.112170015797022,0.37571422265333493,0.37599207452804984,0.4490848288083407
full_global_isotonic,False,0.1122250597334678,0.42497047348931144,0.37626571235892725,0.5221892146406173
recent_2021_global_symmetric_isotonic_blend_0.50,False,0.11241122756066152,0.5915633770123311,0.3764560232085523,0.5730321764286443
recent_2022_global_symmetric_isotonic_blend_0.50,False,0.11254000773651546,0.7068027485788728,0.37676489692011084,0.6555500903838125
recent_2021_global_isotonic_blend_0.50,False,0.1126281502134288,0.7856773391783802,0.3771406351096134,0.7559313479359521
recent_2022_global_isotonic_blend_0.75,False,0.11254627854775194,0.7124142050108347,0.3773116111448009,0.8016088699523428
recent_2021_global_symmetric_isotonic_blend_0.75,False,0.11287442949456652,1.0060611785385705,0.377918971194611,0.9638696336707886
recent_2022_global_temperature,False,0.11386552229102713,1.8929438859964856,0.37810254953951633,1.0129139566482759
recent_2022_global_symmetric_temperature,False,0.11386552229102713,1.8929438859964856,0.37810254953951633,1.0129139566482759
recent_2022_global_symmetric_isotonic_blend_0.75,False,0.11306197392578096,1.1738859407789106,0.3783525034820946,1.079691015214881
recent_2021_global_symmetric_temperature,False,0.11404909243034517,2.0572122398259336,0.3784966082253904,1.1181896713414021
recent_2021_global_temperature,False,0.11404909243034524,2.0572122398259958,0.37849660822539055,1.1181896713414468
recent_2022_global_isotonic,False,0.11303342939078004,1.1483427680556761,0.3789153708543852,1.2300652285478537
recent_2021_global_isotonic_blend_0.75,False,0.11325346009598225,1.345237981350034,0.3791306074901831,1.2875672998738807
recent_2021_global_symmetric_isotonic,False,0.1134260750550065,1.4997030554115922,0.37960699097424466,1.4148366979366072
recent_2022_global_symmetric_isotonic,False,0.11366863318653717,1.7167570115861193,0.3801472811619642,1.5591792481526918
recent_2021_global_isotonic,False,0.11400297801991392,2.015946605243437,0.38146072102733536,1.9100744967288987
