phase,feature,corr,abs_corr,mean,std
early_mid,early_mid_wickets,0.0571969404428342,0.0571969404428342,0.9506777108433735,0.7778813227036013
early_mid,mid_accel_vs_pp,0.03962695919699553,0.03962695919699553,-0.819592443225993,2.5866361717640913
early_mid,max_pair_strength_vs_venue,-0.03634731451054867,0.03634731451054867,2.1711126945934027,18.811338733262907
early_mid,early_mid_wickets_vs_venue,0.008808020444114897,0.008808020444114897,0.04769379397844763,0.726209505240273
late_mid,final_score,-0.5809638803278662,0.5809638803278662,197.2646447323157,29.456159809079143
late_mid,avg_boundary18,-0.5703373868713222,0.5703373868713222,0.20526630802272766,0.043244376682486936
late_mid,final_score_vs_venue,-0.5429450793463881,0.5429450793463881,25.429281925777776,29.409304325840484
late_mid,avg_boundary18_vs_venue,-0.5163984111059275,0.5163984111059275,0.03973700294879893,0.04446218129909159
late_mid,mid_avg_boundary18,-0.47689959218479366,0.47689959218479366,0.1862253894006361,0.05476202387385198
late_mid,death_rr,-0.4734307820741653,0.4734307820741653,11.292571934058783,2.632158068208278
late_mid,death_recovery_after_pp_wkts,-0.4529472389196718,0.4529472389196718,6.426619929162885,3.627823868589356
late_mid,death_rr_vs_venue,-0.44994606569682877,0.44994606569682877,0.7812512557822101,2.692857470997599
late_mid,late_mid_rr,-0.4382482144357093,0.4382482144357093,9.53062876756097,2.4408465145952447
late_mid,death_recovery_after_pp_wkts_vs_venue,-0.42400511744635994,0.42400511744635994,0.677527221366618,3.822840280740037
late_mid,mid_avg_boundary18_vs_venue,-0.4105628192455554,0.4105628192455554,0.04187117320880888,0.05555488774750353
late_mid,mid_recovery_after_pp_wkts,-0.4074599423698485,0.4074599423698485,5.214262624300189,3.053857204741723
late_mid,avg_dot12,0.3997235935885801,0.3997235935885801,0.3046269152803395,0.06003475989691706
late_mid,mid_rr,-0.396195672359511,0.396195672359511,9.057481961968923,1.7345016667212039
late_mid,death_avg_boundary18,-0.39550205722528453,0.39550205722528453,0.21076202253292708,0.07809641698080608
late_mid,late_mid_rr_vs_venue,-0.391649574993974,0.391649574993974,1.1549417442548797,2.46577592499778
late_mid,total_wickets,0.38935383633037113,0.38935383633037113,6.124469589816124,1.9925734791839989
late_mid,avg_dot12_vs_venue,0.3798170205897516,0.3798170205897516,-0.03933577862725088,0.05950221091610278
late_mid,mid_recovery_after_pp_wkts_vs_venue,-0.37133226916455536,0.37133226916455536,0.7855972589402584,3.194733861422277
late_mid,death_avg_boundary18_vs_venue,-0.36110214518902856,0.36110214518902856,0.024369930213610357,0.07924160341556133
late_mid,total_wickets_vs_venue,0.3521940713827892,0.3521940713827892,-0.06902099680418328,2.1255153388172676
late_mid,pp_wickets,0.34769535992156597,0.34769535992156597,1.237152286657237,1.0177000521457475
late_mid,mid_rr_vs_venue,-0.34711992480345216,0.34711992480345216,1.0661722847741149,1.7525078513858041
late_mid,pp_rr,-0.3424546397154771,0.3424546397154771,9.880741234050248,2.2861534575655007
late_mid,pp_wickets_vs_venue,0.3344919837702727,0.3344919837702727,-0.05388220254890432,1.0584717531862622
late_mid,pp_rr_vs_venue,-0.3298869393706567,0.3298869393706567,1.9879125139832827,2.2403940443315173
late_mid,pp_avg_dot12,0.32242257982790185,0.32242257982790185,0.405308556980974,0.10645302995703511
late_mid,pp_avg_dot12_vs_venue,0.3216042547205619,0.3216042547205619,-0.06242414408794232,0.10433287876449443
late_mid,pp_max_balls_since_wicket,-0.2990724730296516,0.2990724730296516,26.192833569071194,7.982413779685809
late_mid,avg_set_batter_exposure,-0.29121005719027415,0.29121005719027415,13.242844619272432,3.3088868000994514
late_mid,early_to_late_mid_accel,-0.28262045464037905,0.28262045464037905,1.0645803125821025,3.045118548195294
late_mid,pp_max_balls_since_wicket_vs_venue,-0.2814002712869532,0.2814002712869532,0.2553649268559286,8.336576289023526
late_mid,early_to_late_mid_accel_vs_venue,-0.2737926747403382,0.2737926747403382,0.19973128383172134,2.936991738582654
late_mid,pp_max_set_batter_exposure,-0.26370907625676004,0.26370907625676004,17.92880716643093,3.7997175839773085
late_mid,avg_set_batter_exposure_vs_venue,-0.260140308367342,0.260140308367342,-0.5931906026574512,3.595768446169785
late_mid,mid_max_set_batter_exposure,-0.2559662042229264,0.2559662042229264,34.53371051390853,7.642663262532254
late_mid,mid_avg_dot12,0.24540304679237918,0.24540304679237918,0.26758694061202015,0.07773800679117465
late_mid,mid_max_set_batter_exposure_vs_venue,-0.24205164319349243,0.24205164319349243,-1.237921115557854,7.934421804089697
late_mid,pp_max_set_batter_exposure_vs_venue,-0.23969388246922435,0.23969388246922435,0.45813330219625525,4.101902541288815
late_mid,death_max_balls_since_wicket,-0.23080504009147373,0.23080504009147373,29.479019330504478,14.580474737337452
late_mid,pp_avg_boundary18_vs_venue,-0.2290211149471638,0.2290211149471638,0.04966739570945306,0.08173217049460506
late_mid,avg_balls_since_wicket,-0.2288900013916183,0.2288900013916183,15.557533183779524,5.125463216971872
late_mid,death_avg_dot12,0.22825218820072635,0.22825218820072635,0.2521999828000884,0.08447632837663235
late_mid,death_max_balls_since_wicket_vs_venue,-0.22574330466518053,0.22574330466518053,-1.8725705350521222,14.7240351467459
late_mid,max_boundary18_vs_venue,-0.2252272606200513,0.2252272606200513,0.06014050695723764,0.213720175160687
late_mid,max_set_batter_exposure,-0.2222195125637284,0.2222195125637284,39.84158415841584,9.419038635126892
late_mid,mid_wickets,0.2209362721129088,0.2209362721129088,2.3314474304573314,0.9999982208447608
late_mid,mid_avg_dot12_vs_venue,0.22070568167713928,0.22070568167713928,-0.044732960396289524,0.08166666274780991
