bucket,n,mean_pred,actual_wr,cal_error,candidate
60-70,1226,0.6515490002371447,0.7185970636215334,0.06704806338438873,full_global_symmetric_platt_blend_0.75
70-80,1961,0.7509411207046768,0.8771035186129525,0.12616239790827577,full_global_symmetric_platt_blend_0.75
80+,5439,0.9358704890347374,0.9431880860452289,0.007317597010491506,full_global_symmetric_platt_blend_0.75
50-60,1336,0.553930204691757,0.5703592814371258,0.016429076745368754,full_global_symmetric_isotonic_blend_0.25
60-70,1280,0.6499545216782181,0.71953125,0.06957672832178186,full_global_symmetric_isotonic_blend_0.25
70-80,2021,0.7499449370579004,0.8787728847105394,0.12882794765263894,full_global_symmetric_isotonic_blend_0.25
80+,5410,0.9361965693883184,0.9430683918669132,0.006871822478594747,full_global_symmetric_isotonic_blend_0.25
50-60,1333,0.5539893354662482,0.5701425356339085,0.01615320016766031,full_global_symmetric_isotonic_blend_0.50
60-70,1250,0.649467203981761,0.7184,0.06893279601823898,full_global_symmetric_isotonic_blend_0.50
70-80,2079,0.7480358148729296,0.8763828763828764,0.1283470615099468,full_global_symmetric_isotonic_blend_0.50
80+,5385,0.9367024146999771,0.9435468895078923,0.0068444748079152795,full_global_symmetric_isotonic_blend_0.50
50-60,1327,0.553944319865802,0.5697061039939714,0.01576178412816942,full_global_symmetric_isotonic_blend_0.75
60-70,1217,0.6485168048778562,0.7115858668857847,0.0630690620079285,full_global_symmetric_isotonic_blend_0.75
70-80,2364,0.7510143991027577,0.8769035532994924,0.12588915419673474,full_global_symmetric_isotonic_blend_0.75
80+,5139,0.9431873321637473,0.9468768242848803,0.003689492121133009,full_global_symmetric_isotonic_blend_0.75
50-60,1336,0.5537802764353771,0.5703592814371258,0.016579005001748692,full_phase_temperature
60-70,1299,0.6497763748143579,0.7228637413394919,0.07308736652513403,full_phase_temperature
70-80,1965,0.7513622217765862,0.87735368956743,0.1259914677908438,full_phase_temperature
80+,5447,0.9354464981352725,0.9429043510189095,0.007457852883636984,full_phase_temperature
50-60,1339,0.55386745225421,0.5705750560119492,0.016707603757739276,full_phase_platt
60-70,1298,0.6499196757286647,0.7234206471494607,0.07350097142079604,full_phase_platt
70-80,1966,0.7514267232451657,0.8763987792472024,0.12497205600203676,full_phase_platt
80+,5444,0.935473358019859,0.9432402645113886,0.007766906491529668,full_phase_platt
50-60,1348,0.5548472816133664,0.5905044510385756,0.035657169425209245,full_phase_isotonic
60-70,1327,0.6557826465035439,0.7287113790504898,0.07292873254694587,full_phase_isotonic
70-80,2230,0.7511842316626198,0.87847533632287,0.12729110466025018,full_phase_isotonic
