segment,variant,fold,feature,importance
innings_2_powerplay,augmented,1,wickets_times_balls,0.019908366724848747
innings_2_powerplay,augmented,1,pressure_index,0.056316688656806946
innings_2_powerplay,augmented,1,team_strength_diff,0.023055341094732285
innings_2_powerplay,augmented,1,rrr_times_wickets,0.052628155797719955
innings_2_powerplay,augmented,1,overs_remaining,0.0
innings_2_powerplay,augmented,1,batting_team_win_rate,0.024566881358623505
innings_2_powerplay,augmented,1,bowling_team_win_rate,0.02304547280073166
innings_2_powerplay,augmented,1,batting_team_situation_wr,0.018414989113807678
innings_2_powerplay,augmented,1,situation_advantage,0.020818596705794334
innings_2_powerplay,augmented,1,boundary_pct_last_18,0.00732166413217783
innings_2_powerplay,augmented,1,bowling_team_situation_wr,0.01890738308429718
innings_2_powerplay,augmented,1,runs_last_12,0.010532251559197903
innings_2_powerplay,augmented,1,runs_last_18,0.01641225442290306
innings_2_powerplay,augmented,1,wickets_last_12,0.0
innings_2_powerplay,augmented,1,inn1_defendability,0.02735385298728943
innings_2_powerplay,augmented,1,target_above_par,0.020656956359744072
innings_2_powerplay,augmented,1,inn1_wickets_lost,0.014521922916173935
innings_2_powerplay,augmented,1,inn1_death_rr,0.020872848108410835
innings_2_powerplay,augmented,1,inn1_pp_runs,0.022432377561926842
innings_2_powerplay,augmented,1,venue_chase_success,0.02558918669819832
innings_2_powerplay,augmented,1,batting_won_toss,0.015548345632851124
innings_2_powerplay,augmented,1,cand_target_above_par_x_wickets,0.03919454291462898
innings_2_powerplay,augmented,1,cand_target_above_par_x_venue_chase,0.021857043728232384
innings_2_powerplay,augmented,1,cand_inn1_def_x_batting_wr,0.020216410979628563
innings_2_powerplay,augmented,1,cand_required_minus_current_rr,0.01598281040787697
innings_2_powerplay,augmented,1,cand_early_chase_wicket_shock,0.01712805964052677
innings_2_powerplay,augmented,1,cand_target_x_early_wicket_shock,0.025450438261032104
innings_2_powerplay,augmented,2,expected_final_score,0.019543349742889404
innings_2_powerplay,augmented,2,resource_win_prob,0.10535215586423874
innings_2_powerplay,augmented,2,score_vs_par,0.02481740713119507
innings_2_powerplay,augmented,2,dls_pressure_index,0.07830062508583069
innings_2_powerplay,augmented,2,projected_vs_venue_avg,0.0
innings_2_powerplay,augmented,2,projected_score,0.0
innings_2_powerplay,augmented,2,is_powerplay,0.0
