row_key,match_id,season,date,innings,over,ball,phase_label,batting_team,bowling_team,winner,is_winner,overs_remaining,resource_win_prob,regime_id,regime_label,stability_flag,regime_confidence,regime_cluster_win_rate,regime_cluster_size,method,split,predicted_prob,predicted_label,prediction_error,correct,confidence_strength,wrong_direction
1473441:2:5:4,1473441,2025,2025-03-24,2,5,4,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,14.333333333333334,0.19776757129244896,0,pressure_state,stable,0.10124172414354803,0.12566037735849056,23850,regime_cluster_features,holdout,0.04412670027778112,0,0.9558732997222189,False,0.9558732997222189,false_negative
1473468:2:2:4,1473468,2025,2025-04-15,2,2,4,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,17.333333333333332,0.974852146097316,3,pressure_state,stable,0.1220371330448133,0.5326319319277361,47714,regime_cluster_features,holdout,0.9557319263139544,1,0.9557319263139544,False,0.9557319263139544,false_positive
1426277:2:2:3,1426277,2024,2024-04-23,2,2,3,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,17.5,0.20922550225427347,3,pressure_state,stable,0.14106542960774576,0.5326319319277361,47714,regime_cluster_features,holdout,0.044781544603669184,0,0.9552184553963308,False,0.9552184553963308,false_negative
1473441:2:3:5,1473441,2025,2025-03-24,2,3,5,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,16.166666666666668,0.18292429031149673,0,pressure_state,stable,0.12336176942657802,0.12566037735849056,23850,regime_cluster_features,holdout,0.045077750697982866,0,0.9549222493020171,False,0.9549222493020171,false_negative
1473468:2:1:1,1473468,2025,2025-04-15,2,1,1,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,18.833333333333332,0.9481166886652045,3,pressure_state,stable,0.1281531824166342,0.5326319319277361,47714,regime_cluster_features,holdout,0.9547754206808801,1,0.9547754206808801,False,0.9547754206808801,false_positive
1426277:2:3:2,1426277,2024,2024-04-23,2,3,2,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,16.666666666666668,0.18695876952476123,3,pressure_state,stable,0.14207150200454283,0.5326319319277361,47714,regime_cluster_features,holdout,0.04561484334980081,0,0.9543851566501992,False,0.9543851566501992,false_negative
1426277:2:3:1,1426277,2024,2024-04-23,2,3,1,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,16.833333333333332,0.19312802554631633,3,pressure_state,stable,0.14223399149379776,0.5326319319277361,47714,regime_cluster_features,holdout,0.04569961107542543,0,0.9543003889245746,False,0.9543003889245746,false_negative
1473464:2:1:1,1473464,2025,2025-04-12,2,1,1,powerplay,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,1,18.833333333333332,0.10575887524681564,3,pressure_state,stable,0.11405791086249788,0.5326319319277361,47714,regime_cluster_features,holdout,0.046067892529623525,0,0.9539321074703765,False,0.9539321074703765,false_negative
1473441:2:1:3,1473441,2025,2025-03-24,2,1,3,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,18.5,0.18832692301828666,4,pressure_state,stable,0.12392739111502717,0.3551443585529653,49287,regime_cluster_features,holdout,0.04641386682284179,0,0.9535861331771582,False,0.9535861331771582,false_negative
1527675:2:1:2,1527675,2026,2026-03-29,2,1,2,powerplay,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,1,18.666666666666668,0.19322883962851378,3,pressure_state,stable,0.1319414730220301,0.5326319319277361,47714,regime_cluster_features,holdout,0.046733450011201515,0,0.9532665499887985,False,0.9532665499887985,false_negative
1359504:2:5:1,1359504,2023,2023-04-22,2,5,1,powerplay,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,0,14.833333333333334,0.9644217169981392,3,pressure_state,stable,0.16331414864932248,0.5326319319277361,47714,regime_cluster_features,holdout,0.9524397751325164,1,0.9524397751325164,False,0.9524397751325164,false_positive
1426277:2:3:4,1426277,2024,2024-04-23,2,3,4,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,16.333333333333332,0.1824961431286418,3,pressure_state,stable,0.1430836945994737,0.5326319319277361,47714,regime_cluster_features,holdout,0.04757999867416342,0,0.9524200013258366,False,0.9524200013258366,false_negative
1426277:2:3:3,1426277,2024,2024-04-23,2,3,3,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,16.5,0.18876676286792785,3,pressure_state,stable,0.14269372494701138,0.5326319319277361,47714,regime_cluster_features,holdout,0.04824878662440006,0,0.9517512133756,False,0.9517512133756,false_negative
