variant,feature,importance
ml_add_mc_win_prob,overs_remaining,0.011219825479201972
ml_add_mc_win_prob,chase_difficulty,0.010923709138296545
ml_add_mc_win_prob,is_powerplay,0.009682447067461908
ml_add_mc_win_prob,runs_last_18,0.00890115590300411
ml_add_mc_win_prob,boundary_pct_last_18,0.008481457247398794
ml_add_mc_win_prob,runs_last_12,0.00794753257650882
ml_add_mc_win_prob,wickets_last_12,0.004153337678872049
ml_add_mc_win_prob_inn2_only,run_rate_diff,0.1489594280719757
ml_add_mc_win_prob_inn2_only,mc_win_prob,0.09870275389403105
ml_add_mc_win_prob_inn2_only,situation_advantage,0.05958830937743187
ml_add_mc_win_prob_inn2_only,team_strength_diff,0.04919832479208708
ml_add_mc_win_prob_inn2_only,inn1_defendability,0.04123697429895401
ml_add_mc_win_prob_inn2_only,target_above_par,0.041122888680547476
ml_add_mc_win_prob_inn2_only,resource_win_prob,0.0400461470708251
ml_add_mc_win_prob_inn2_only,required_run_rate,0.039360922295600176
ml_add_mc_win_prob_inn2_only,expected_final_score,0.03932737885043025
ml_add_mc_win_prob_inn2_only,bowling_team_situation_wr,0.03908637119457126
ml_add_mc_win_prob_inn2_only,bowling_team_win_rate,0.038893251679837704
ml_add_mc_win_prob_inn2_only,batting_team_situation_wr,0.03819224797189236
ml_add_mc_win_prob_inn2_only,inn1_death_rr,0.03551068250089884
ml_add_mc_win_prob_inn2_only,score_vs_par,0.03394160605967045
ml_add_mc_win_prob_inn2_only,batting_team_win_rate,0.029810881707817316
ml_add_mc_win_prob_inn2_only,projected_score,0.027677997015416622
ml_add_mc_win_prob_inn2_only,inn1_wickets_lost,0.02498040022328496
ml_add_mc_win_prob_inn2_only,score_per_wicket,0.022304626647382975
ml_add_mc_win_prob_inn2_only,pressure_index,0.021359977778047323
ml_add_mc_win_prob_inn2_only,projected_vs_venue_avg,0.0196630097925663
ml_add_mc_win_prob_inn2_only,wickets_times_balls,0.018356375861912966
ml_add_mc_win_prob_inn2_only,dls_pressure_index,0.017811523284763098
ml_add_mc_win_prob_inn2_only,chase_difficulty,0.013911974325310439
ml_add_mc_win_prob_inn2_only,overs_remaining,0.012275847722776234
ml_add_mc_win_prob_inn2_only,runs_last_18,0.010965705383569002
ml_add_mc_win_prob_inn2_only,boundary_pct_last_18,0.008410511654801667
ml_add_mc_win_prob_inn2_only,rrr_times_wickets,0.008061929809628054
ml_add_mc_win_prob_inn2_only,runs_last_12,0.008049094234593213
ml_add_mc_win_prob_inn2_only,is_powerplay,0.006949407630600035
ml_add_mc_win_prob_inn2_only,wickets_last_12,0.006243428390007466
ml_clean_swap_resource,run_rate_diff,0.11726140975952148
ml_clean_swap_resource,resource_win_prob,0.09529895056039095
ml_clean_swap_resource,situation_advantage,0.05517667345702648
ml_clean_swap_resource,team_strength_diff,0.04709336906671524
ml_clean_swap_resource,bowling_team_situation_wr,0.04506363719701767
ml_clean_swap_resource,score_vs_par,0.043938123155385256
ml_clean_swap_resource,expected_final_score,0.04262567590922117
ml_clean_swap_resource,inn1_defendability,0.03954538842663169
ml_clean_swap_resource,target_above_par,0.0378642650321126
ml_clean_swap_resource,batting_team_situation_wr,0.03685584384948015
ml_clean_swap_resource,venue_chase_success,0.03307333402335644
ml_clean_swap_resource,bowling_team_win_rate,0.03286078246310353
ml_clean_swap_resource,inn1_pp_runs,0.031859579496085644
ml_clean_swap_resource,required_run_rate,0.03140628524124622
ml_clean_swap_resource,inn1_death_rr,0.03029491798952222
ml_clean_swap_resource,projected_score,0.028883866034448147
ml_clean_swap_resource,batting_team_win_rate,0.027349631302058697
ml_clean_swap_resource,pressure_index,0.024840335361659527
ml_clean_swap_resource,inn1_wickets_lost,0.022877305804286152
ml_clean_swap_resource,dls_pressure_index,0.021180455572903156
ml_clean_swap_resource,score_per_wicket,0.020977660547941923
ml_clean_swap_resource,rrr_times_wickets,0.019921339582651854
ml_clean_swap_resource,projected_vs_venue_avg,0.019608621252700686
ml_clean_swap_resource,batting_won_toss,0.019437399576418102
ml_clean_swap_resource,chase_difficulty,0.01723455940373242
ml_clean_swap_resource,wickets_times_balls,0.017046081833541393
ml_clean_swap_resource,overs_remaining,0.010135765478480607
ml_clean_swap_resource,runs_last_18,0.008419635705649853
ml_clean_swap_resource,boundary_pct_last_18,0.008247767225839198
ml_clean_swap_resource,runs_last_12,0.0075244923355057836
ml_clean_swap_resource,is_powerplay,0.004966780776157975
ml_clean_swap_resource,wickets_last_12,0.0011300668120384216
ml_clean_swap_resource_inn2_only,run_rate_diff,0.14682531170547009
ml_clean_swap_resource_inn2_only,resource_win_prob,0.07733302842825651
ml_clean_swap_resource_inn2_only,situation_advantage,0.059508721344172955
ml_clean_swap_resource_inn2_only,team_strength_diff,0.04777360614389181
ml_clean_swap_resource_inn2_only,bowling_team_situation_wr,0.04249497875571251
ml_clean_swap_resource_inn2_only,expected_final_score,0.03882637759670615
ml_clean_swap_resource_inn2_only,inn1_defendability,0.03764821286313236
ml_clean_swap_resource_inn2_only,target_above_par,0.03746709693223238
ml_clean_swap_resource_inn2_only,batting_team_situation_wr,0.037408629432320595
ml_clean_swap_resource_inn2_only,score_vs_par,0.037312889471650124
ml_clean_swap_resource_inn2_only,required_run_rate,0.03475471865385771
ml_clean_swap_resource_inn2_only,inn1_pp_runs,0.03281390527263284
ml_clean_swap_resource_inn2_only,bowling_team_win_rate,0.032389788422733545
ml_clean_swap_resource_inn2_only,inn1_death_rr,0.030926127918064594
ml_clean_swap_resource_inn2_only,venue_chase_success,0.030652111396193504
ml_clean_swap_resource_inn2_only,inn1_wickets_lost,0.02731841802597046
ml_clean_swap_resource_inn2_only,batting_team_win_rate,0.025620753411203623
ml_clean_swap_resource_inn2_only,projected_score,0.02542045619338751
ml_clean_swap_resource_inn2_only,pressure_index,0.02198289823718369
ml_clean_swap_resource_inn2_only,dls_pressure_index,0.021909999195486307
