method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta
ml_clean_swap_resource,oof_overall,innings_2,1108,0.1924316926376981,0.08335599785283675,0.5750093740731737,-0.004315,-0.008909,-0.012223
ml_clean_swap_resource,oof_overall,innings_2_powerplay,320,0.2322027387832805,0.1600130153497096,0.684140359468725,-0.008989,-0.011305,-0.02366
ml_clean_swap_resource,oof_overall,innings_2_middle,542,0.18522401882190498,0.08189800675852109,0.5536081739509624,-0.001757,-0.004296,-0.005958
ml_clean_swap_resource,oof_overall,innings_2_death,246,0.15657732044897263,0.08645610619357695,0.4802026063482232,-0.003871,-0.021111,-0.011148
ml_clean_swap_resource_inn2_only,oof_overall,overall,2316,0.22993429691250902,0.12724059572141466,0.662629910276185,-0.002624,-0.000503,-0.007844
ml_clean_swap_resource_inn2_only,oof_overall,innings_1,1208,0.2628538317683717,0.1735413268956971,0.7397041410561691,-0.002551,0.004014,-0.00712
ml_clean_swap_resource_inn2_only,oof_overall,innings_1_powerplay,320,0.26730459486608715,0.1852864306061487,0.7540803254165535,0.000243,0.017644,0.000249
ml_clean_swap_resource_inn2_only,oof_overall,innings_1_middle,576,0.26074936763721657,0.17618517309950493,0.7317111405194652,-0.003366,0.011167,-0.009562
ml_clean_swap_resource_inn2_only,oof_overall,innings_1_death,312,0.2621741110897705,0.1784495001495278,0.7397156452671263,-0.003912,-0.001856,-0.01017
ml_clean_swap_resource_inn2_only,oof_overall,innings_2,1108,0.19404368490359017,0.08795600617540658,0.5785995214835669,-0.002703,-0.004309,-0.008633
ml_clean_swap_resource_inn2_only,oof_overall,innings_2_powerplay,320,0.23494260701100664,0.1689403102156072,0.6895710819802154,-0.006249,-0.002378,-0.018229
ml_clean_swap_resource_inn2_only,oof_overall,innings_2_middle,542,0.1865952280816987,0.0870812417840587,0.5569475617045619,-0.000385,0.000888,-0.002619
ml_clean_swap_resource_inn2_only,oof_overall,innings_2_death,246,0.15725266263973608,0.07482563232404703,0.4819509964481733,-0.003196,-0.032741,-0.0094
