feature,importance,method,fold
rrr_times_wickets,0.024990654,baseline_v6_features,2
bowling_team_win_rate,0.024139684,baseline_v6_features,2
batting_team_situation_wr,0.023514235,baseline_v6_features,2
team_strength_diff,0.023395589,baseline_v6_features,2
inn1_death_rr,0.02329795,baseline_v6_features,2
situation_advantage,0.023245266,baseline_v6_features,2
inn1_wickets_lost,0.022517627,baseline_v6_features,2
batting_team_win_rate,0.02210876,baseline_v6_features,2
batting_won_toss,0.018892705,baseline_v6_features,2
projected_score,0.018817091,baseline_v6_features,2
required_run_rate,0.018243955,baseline_v6_features,2
projected_vs_venue_avg,0.017076157,baseline_v6_features,2
pressure_index,0.015014539,baseline_v6_features,2
chase_difficulty,0.014471741,baseline_v6_features,2
overs_remaining,0.014383146,baseline_v6_features,2
score_per_wicket,0.012623261,baseline_v6_features,2
wickets_last_12,0.010757072,baseline_v6_features,2
runs_last_18,0.010270201,baseline_v6_features,2
wickets_times_balls,0.010031321,baseline_v6_features,2
runs_last_12,0.0066229324,baseline_v6_features,2
is_powerplay,0.006212834,baseline_v6_features,2
boundary_pct_last_18,0.003871566,baseline_v6_features,2
resource_win_prob,0.1957828,augmented_all_candidates,2
dls_pressure_index,0.13667735,augmented_all_candidates,2
score_vs_par,0.04359448,augmented_all_candidates,2
expected_final_score,0.0250155,augmented_all_candidates,2
run_rate_diff,0.024492525,augmented_all_candidates,2
venue_chase_success,0.024145247,augmented_all_candidates,2
inn1_defendability,0.023285935,augmented_all_candidates,2
bowling_team_situation_wr,0.022261089,augmented_all_candidates,2
hs_i2death_dls_x_chase_difficulty,0.021721048,augmented_all_candidates,2
target_above_par,0.02142314,augmented_all_candidates,2
inn1_pp_runs,0.020995075,augmented_all_candidates,2
inn1_wickets_lost,0.02030804,augmented_all_candidates,2
hs_i2_target_above_par_x_wickets,0.019829523,augmented_all_candidates,2
batting_team_situation_wr,0.019676957,augmented_all_candidates,2
bowling_team_win_rate,0.019623911,augmented_all_candidates,2
situation_advantage,0.01922536,augmented_all_candidates,2
hs_i2_inn1_def_x_required_rr,0.019154051,augmented_all_candidates,2
inn1_death_rr,0.019076627,augmented_all_candidates,2
team_strength_diff,0.018952161,augmented_all_candidates,2
batting_team_win_rate,0.018837625,augmented_all_candidates,2
batting_won_toss,0.017326089,augmented_all_candidates,2
rrr_times_wickets,0.016805783,augmented_all_candidates,2
hs_i2mid_dls_x_resource,0.014796675,augmented_all_candidates,2
projected_vs_venue_avg,0.014740082,augmented_all_candidates,2
hs_i2pp_target_x_early_wicket_shock,0.014690212,augmented_all_candidates,2
projected_score,0.013603621,augmented_all_candidates,2
hs_i1death_bowling_situation_x_wih,0.012969142,augmented_all_candidates,2
chase_difficulty,0.011991913,augmented_all_candidates,2
hs_i2pp_target_above_par_x_wickets,0.011961905,augmented_all_candidates,2
wickets_last_12,0.011656748,augmented_all_candidates,2
wickets_times_balls,0.010389493,augmented_all_candidates,2
hs_i2pp_early_chase_wicket_shock,0.010073236,augmented_all_candidates,2
score_per_wicket,0.01000642,augmented_all_candidates,2
required_run_rate,0.009455585,augmented_all_candidates,2
hs_i2pp_inn1_def_x_batting_wr,0.008774246,augmented_all_candidates,2
pressure_index,0.008613214,augmented_all_candidates,2
runs_last_18,0.007994365,augmented_all_candidates,2
hs_i1death_expected_final_x_wih,0.0077788583,augmented_all_candidates,2
overs_remaining,0.0071053933,augmented_all_candidates,2
hs_i1death_score_vs_par_x_wih,0.0065889237,augmented_all_candidates,2
hs_i2_resource_pressure,0.0065463106,augmented_all_candidates,2
runs_last_12,0.006428844,augmented_all_candidates,2
hs_i1death_wickets_in_hand,0.006023613,augmented_all_candidates,2
hs_i2death_target_x_venue_chase,0.0051349537,augmented_all_candidates,2
hs_i1death_boundary_x_wih,0.004360362,augmented_all_candidates,2
is_powerplay,0.0036536388,augmented_all_candidates,2
boundary_pct_last_18,0.0034704057,augmented_all_candidates,2
hs_i2pp_target_above_par_x_venue_chase,0.0029815105,augmented_all_candidates,2
hs_i1death_projected_vs_venue_x_wih,0.0,augmented_all_candidates,2
hs_i1death_resource_pressure,0.0,augmented_all_candidates,2
hs_i2pp_required_minus_current_rr,0.0,augmented_all_candidates,2
