version,segment,target_bucket,n,brier,logloss,mean_pred,actual_wr,gap_pp
replace_pp_only,late_mid_13_15,all,1632,0.07766660012514709,0.2605760906694732,0.5291046337162129,0.5263480392156863,0.2756594500526566
replace_pp_only,late_mid_13_15,above_par_hard,701,0.05508362589583551,0.2037111682901818,0.32880406903919696,0.2710413694721826,5.7762699567014355
replace_pp_only,late_mid_13_15,below_par_easy,284,0.11174977064813112,0.3515034468613472,0.8243678444331212,0.954225352112676,-12.985750767955484
replace_pp_only,late_mid_13_15,par,647,0.08717362409148394,0.2822746091074808,0.616517221034584,0.615146831530139,0.13703895044449022
replace_pp_only,full_mid_7_15,all,5050,0.10369643442532964,0.33743639485447835,0.520358771371,0.5376237623762377,-1.7264991005237706
replace_pp_only,full_mid_7_15,above_par_hard,2089,0.07498730987442456,0.2612079092901446,0.3184650046120089,0.26807084729535663,5.039415731665225
replace_pp_only,full_mid_7_15,below_par_easy,1010,0.14001044803245266,0.4451754511674186,0.7932377012726899,0.9504950495049505,-15.725734823226055
replace_pp_only,full_mid_7_15,par,1951,0.1156370840632827,0.3632820429671507,0.5952682329593266,0.6125064069707842,-1.7238174011457552
replace_pp_only,death_16_20,all,1516,0.06493365551031245,0.2101839796801359,0.4305886123090453,0.40369393139841686,2.689468091062847
replace_pp_only,death_16_20,above_par_hard,775,0.03542532084581636,0.1267623423231447,0.28517255939313557,0.20516129032258065,8.001126907055491
replace_pp_only,death_16_20,below_par_easy,163,0.09087131996525329,0.27630881367813254,0.8355279517977966,1.0,-16.44720482022034
replace_pp_only,death_16_20,par,578,0.0971847282764528,0.3033905904240714,0.5113711878681519,0.5017301038062284,0.9641084061923544
v14_original,overall,all,10047,0.11175015455386834,0.37431110011282837,0.4899630167808175,0.5205533990245844,-3.0590382243766925
v14_original,overall,above_par_hard,4258,0.085381880741882,0.2802792883261185,0.29869697886430463,0.2576326914044152,4.106428745988944
v14_original,overall,below_par_easy,1953,0.14149603210344794,0.5418358350098609,0.7875019471000799,0.9559651817716334,-16.846323467155344
v14_original,overall,par,3836,0.125874870674074,0.39339651391207403,0.5507860768785735,0.5907194994786236,-3.993342260005006
v14_original,pp_0_6,all,3481,0.14382286331547456,0.49928495134254086,0.4717248773090524,0.5466819879345016,-7.495711062544924
v14_original,pp_0_6,above_par_hard,1394,0.12873237748619296,0.3942073686406479,0.27659225813489446,0.27116212338593976,0.5430134748954707
v14_original,pp_0_6,below_par_easy,780,0.15399893978323126,0.7224869788020897,0.770038677253844,0.9538461538461539,-18.38074765923099
v14_original,pp_0_6,par,1307,0.15384489667520548,0.47815302239685675,0.5018167726203291,0.5975516449885233,-9.573487236819423
v14_original,early_mid_7_12,all,3418,0.11612495682962978,0.3741350538450953,0.5161828651839352,0.5430076067875951,-2.6824741603659885
v14_original,early_mid_7_12,above_par_hard,1388,0.08503953067340937,0.290246248945025,0.3132433301426581,0.2665706051873199,4.66727249553382
v14_original,early_mid_7_12,below_par_easy,726,0.1510655890478071,0.48181849417420136,0.7810600695129621,0.9490358126721763,-16.797574315921416
v14_original,early_mid_7_12,par,1304,0.1297596750155479,0.40347514857083655,0.584725215102968,0.6111963190184049,-2.6471103915436833
v14_original,late_mid_13_15,all,1632,0.07766660012514709,0.2605760906694732,0.5291046337162129,0.5263480392156863,0.2756594500526566
v14_original,late_mid_13_15,above_par_hard,701,0.05508362589583551,0.2037111682901818,0.32880406903919696,0.2710413694721826,5.7762699567014355
v14_original,late_mid_13_15,below_par_easy,284,0.11174977064813112,0.3515034468613472,0.8243678444331212,0.954225352112676,-12.985750767955484
v14_original,late_mid_13_15,par,647,0.08717362409148394,0.2822746091074808,0.616517221034584,0.615146831530139,0.13703895044449022
v14_original,full_mid_7_15,all,5050,0.10369643442532964,0.33743639485447835,0.520358771371,0.5376237623762377,-1.7264991005237706
v14_original,full_mid_7_15,above_par_hard,2089,0.07498730987442456,0.2612079092901446,0.3184650046120089,0.26807084729535663,5.039415731665225
v14_original,full_mid_7_15,below_par_easy,1010,0.14001044803245266,0.4451754511674186,0.7932377012726899,0.9504950495049505,-15.725734823226055
v14_original,full_mid_7_15,par,1951,0.1156370840632827,0.3632820429671507,0.5952682329593266,0.6125064069707842,-1.7238174011457552
v14_original,death_16_20,all,1516,0.06493365551031245,0.2101839796801359,0.4305886123090453,0.40369393139841686,2.689468091062847
v14_original,death_16_20,above_par_hard,775,0.03542532084581636,0.1267623423231447,0.28517255939313557,0.20516129032258065,8.001126907055491
v14_original,death_16_20,below_par_easy,163,0.09087131996525329,0.27630881367813254,0.8355279517977966,1.0,-16.44720482022034
v14_original,death_16_20,par,578,0.0971847282764528,0.3033905904240714,0.5113711878681519,0.5017301038062284,0.9641084061923544
