method,split,segment,n,brier,ece,log_loss
ml_add_mc_gap_features,oof_fold_3,overall,579,0.18516156162164352,0.11065493234548446,0.5507961298822228
ml_add_mc_gap_features,oof_fold_3,innings_1,306,0.17768474479364266,0.1239096734178276,0.5323333002076387
ml_add_mc_gap_features,oof_fold_3,innings_1_powerplay,85,0.206184571206297,0.15537915759938517,0.5983909929398207
ml_add_mc_gap_features,oof_fold_3,innings_1_middle,147,0.17025765220858208,0.11385432336235685,0.5139977141356835
ml_add_mc_gap_features,oof_fold_3,innings_1_death,74,0.1597022767521331,0.15718571520611238,0.49287961467171904
ml_add_mc_gap_features,oof_fold_3,innings_2,273,0.1935421694947873,0.14504999050895084,0.5714907301768116
ml_add_mc_gap_features,oof_fold_3,innings_2_powerplay,80,0.17031628133559046,0.19290848409811162,0.5128726157319425
ml_add_mc_gap_features,oof_fold_3,innings_2_middle,133,0.21294904340883172,0.16232496512524103,0.6205673789946744
ml_add_mc_gap_features,oof_fold_3,innings_2_death,60,0.18149144986425123,0.1587777320210684,0.5408616445570417
ml_replace_resource_with_mc,oof_fold_3,overall,579,0.2013516468250987,0.06177386823819558,0.5838446718750254
ml_replace_resource_with_mc,oof_fold_3,innings_1,306,0.2168600915110617,0.05053736927697321,0.6239988063741577
ml_replace_resource_with_mc,oof_fold_3,innings_1_powerplay,85,0.2600231253923354,0.17709441226595002,0.7182284980977062
ml_replace_resource_with_mc,oof_fold_3,innings_1_middle,147,0.2049792606981231,0.111602184735747,0.5975337037541726
ml_replace_resource_with_mc,oof_fold_3,innings_1_death,74,0.19088204082989557,0.07575772732745957,0.5683345670314037
ml_replace_resource_with_mc,oof_fold_3,innings_2,273,0.183968554979294,0.12341030122677046,0.5388367408979762
ml_replace_resource_with_mc,oof_fold_3,innings_2_powerplay,80,0.1637975136840787,0.18856446672693566,0.4979849664924747
ml_replace_resource_with_mc,oof_fold_3,innings_2_middle,133,0.2019563564356255,0.1549675358081985,0.5815167325440461
ml_replace_resource_with_mc,oof_fold_3,innings_2_death,60,0.17099031681137963,0.1440085713060416,0.49869845862318946
ml_clean_swap_resource,oof_fold_3,overall,579,0.18594068452033818,0.09699288088173764,0.5514602297972584
ml_clean_swap_resource,oof_fold_3,innings_1,306,0.18055651464316677,0.11126532988766667,0.5389732567949739
ml_clean_swap_resource,oof_fold_3,innings_1_powerplay,85,0.20291105153099923,0.1172738978728957,0.5909928564042394
ml_clean_swap_resource,oof_fold_3,innings_1_middle,147,0.17623914078903857,0.11465734733953652,0.5280403203890637
ml_clean_swap_resource,oof_fold_3,innings_1_death,74,0.1634554108741273,0.17257845941429314,0.500939144428504
ml_clean_swap_resource,oof_fold_3,innings_2,273,0.19197568811892596,0.13815605446963944,0.5654566171185005
ml_clean_swap_resource,oof_fold_3,innings_2_powerplay,80,0.17116026645499294,0.1718823978475218,0.5145476796038982
ml_clean_swap_resource,oof_fold_3,innings_2_middle,133,0.21182372519049494,0.17111274204019702,0.615357066212172
ml_clean_swap_resource,oof_fold_3,innings_2_death,60,0.1757331014955253,0.13126745376666668,0.5227225383136646
baseline_ipl_v6_features,oof_fold_4,overall,579,0.21673181964264301,0.1335223480066738,0.6131522169308512
baseline_ipl_v6_features,oof_fold_4,innings_1,296,0.29154865896482146,0.21868287184936228,0.7927049908821058
baseline_ipl_v6_features,oof_fold_4,innings_1_powerplay,75,0.31526293378355996,0.2679090752799019,0.8397013959976424
baseline_ipl_v6_features,oof_fold_4,innings_1_middle,141,0.29605759992656405,0.22215856809106949,0.8085413112041139
baseline_ipl_v6_features,oof_fold_4,innings_1_death,80,0.2613695178771828,0.21126664177634663,0.720734346518751
baseline_ipl_v6_features,oof_fold_4,innings_2,283,0.13847816437986984,0.10674597320968823,0.4253514356956166
baseline_ipl_v6_features,oof_fold_4,innings_2_powerplay,80,0.19678644191961317,0.18842524425381282,0.5738573853791011
baseline_ipl_v6_features,oof_fold_4,innings_2_middle,140,0.12585395049225037,0.11642938269258263,0.39716876970695836
baseline_ipl_v6_features,oof_fold_4,innings_2_death,63,0.09248971582569934,0.1937240314246434,0.2994005986120199
mc_standalone_calibrated,oof_fold_4,overall,579,0.19299559358433857,0.09631287879141864,0.564103951210275
mc_standalone_calibrated,oof_fold_4,innings_1,296,0.2435891036310829,0.06459853735623805,0.6803055569393156
mc_standalone_calibrated,oof_fold_4,innings_1_powerplay,75,0.26668531670126694,0.14750651732463033,0.7273417600616816
mc_standalone_calibrated,oof_fold_4,innings_1_middle,141,0.24640648181163322,0.07255637812680765,0.686005556356639
mc_standalone_calibrated,oof_fold_4,innings_1_death,80,0.21697077483456556,0.16804841762501568,0.6261628675390651
mc_standalone_calibrated,oof_fold_4,innings_2,283,0.14007800003721377,0.17010523383676487,0.4425644625325506
mc_standalone_calibrated,oof_fold_4,innings_2_powerplay,80,0.19147922139716453,0.31827169258853627,0.5765549583828967
mc_standalone_calibrated,oof_fold_4,innings_2_middle,140,0.13034555334174913,0.20336240886104273,0.4215259433939375
mc_standalone_calibrated,oof_fold_4,innings_2_death,63,0.0964342671573564,0.16601806010520687,0.3191700658877591
ml_add_mc_win_prob,oof_fold_4,overall,579,0.2037722745564944,0.09155974986055863,0.5902490570832288
ml_add_mc_win_prob,oof_fold_4,innings_1,296,0.26510853199680345,0.14405935797009137,0.7409647241654398
