method,split,segment,n,brier,ece,log_loss
ml_clean_swap_resource,oof_fold_3,innings_1_death,74,0.16493417228931864,0.17300439108413712,0.5046265655957999
ml_clean_swap_resource,oof_fold_3,innings_2,273,0.19041006761909113,0.13490674687965584,0.5611610795030287
ml_clean_swap_resource,oof_fold_3,innings_2_powerplay,80,0.17003721954138853,0.17779202500828797,0.5112662400018337
ml_clean_swap_resource,oof_fold_3,innings_2_middle,133,0.21001264355452573,0.1640631823249508,0.6099403623118496
ml_clean_swap_resource,oof_fold_3,innings_2_death,60,0.1741214883991481,0.147283958767467,0.5195601219450693
baseline_ipl_v6_features,oof_fold_4,overall,579,0.21673181964264301,0.1335223480066738,0.6131522169308512
baseline_ipl_v6_features,oof_fold_4,innings_1,296,0.29154865896482146,0.21868287184936228,0.7927049908821058
baseline_ipl_v6_features,oof_fold_4,innings_1_powerplay,75,0.31526293378355996,0.2679090752799019,0.8397013959976424
baseline_ipl_v6_features,oof_fold_4,innings_1_middle,141,0.29605759992656405,0.22215856809106949,0.8085413112041139
baseline_ipl_v6_features,oof_fold_4,innings_1_death,80,0.2613695178771828,0.21126664177634663,0.720734346518751
baseline_ipl_v6_features,oof_fold_4,innings_2,283,0.13847816437986984,0.10674597320968823,0.4253514356956166
baseline_ipl_v6_features,oof_fold_4,innings_2_powerplay,80,0.19678644191961317,0.18842524425381282,0.5738573853791011
baseline_ipl_v6_features,oof_fold_4,innings_2_middle,140,0.12585395049225037,0.11642938269258263,0.39716876970695836
baseline_ipl_v6_features,oof_fold_4,innings_2_death,63,0.09248971582569934,0.1937240314246434,0.2994005986120199
mc_standalone_calibrated,oof_fold_4,overall,579,0.19317062120940576,0.09276541570740619,0.5649497629238512
mc_standalone_calibrated,oof_fold_4,innings_1,296,0.24379516641635135,0.06460189990366252,0.6807127651209288
mc_standalone_calibrated,oof_fold_4,innings_1_powerplay,75,0.26648361552025934,0.1470845130265283,0.7269088090963329
mc_standalone_calibrated,oof_fold_4,innings_1_middle,141,0.2466694136700952,0.07267162166348523,0.6865351864411522
mc_standalone_calibrated,oof_fold_4,innings_1_death,80,0.2174588845967141,0.15604732114588407,0.6271419563170937
mc_standalone_calibrated,oof_fold_4,innings_2,283,0.1402205668586782,0.17050600126366972,0.44386902564351566
mc_standalone_calibrated,oof_fold_4,innings_2_powerplay,80,0.1916619863816224,0.29839982972332,0.57659653937885
mc_standalone_calibrated,oof_fold_4,innings_2_middle,140,0.12992531085427808,0.20290903792324277,0.4204406985886901
mc_standalone_calibrated,oof_fold_4,innings_2_death,63,0.09777647604566986,0.17754648877905732,0.32738910006968747
ml_add_mc_win_prob,oof_fold_4,overall,579,0.2025213030814661,0.09014569998458065,0.587801042386861
ml_add_mc_win_prob,oof_fold_4,innings_1,296,0.26344112459616875,0.1352401742423048,0.7375364515188526
ml_add_mc_win_prob,oof_fold_4,innings_1_powerplay,75,0.2939260253148789,0.22928615443126427,0.7944393959967581
ml_add_mc_win_prob,oof_fold_4,innings_1_middle,141,0.2650040403120629,0.2031051218635242,0.7461210222124766
ml_add_mc_win_prob,oof_fold_4,innings_1_death,80,0.23210689122311434,0.1423796280142238,0.6690596352233044
ml_add_mc_win_prob,oof_fold_4,innings_2,283,0.13880304453605272,0.10338644611532564,0.431187328241739
ml_add_mc_win_prob,oof_fold_4,innings_2_powerplay,80,0.18934283093671334,0.13138438767043106,0.5580749087551823
ml_add_mc_win_prob,oof_fold_4,innings_2_middle,140,0.12923502471186668,0.16452306410146508,0.40959906990960177
ml_add_mc_win_prob,oof_fold_4,innings_2_death,63,0.0958878042715002,0.13190768483048276,0.3180341492802114
ml_add_mc_gap_features,oof_fold_4,overall,579,0.21565267373226535,0.13025794419500508,0.6128490462921977
ml_add_mc_gap_features,oof_fold_4,innings_1,296,0.28883983332632873,0.21376501150131189,0.7919826133822286
ml_add_mc_gap_features,oof_fold_4,innings_1_powerplay,75,0.32126180114139996,0.30129306821230323,0.8557747745041834
ml_add_mc_gap_features,oof_fold_4,innings_1_middle,141,0.2937986693046551,0.26393036242609036,0.8096523073626039
ml_add_mc_gap_features,oof_fold_4,innings_1_death,80,0.24970429008789913,0.2167005586914348,0.7010346266899846
ml_add_mc_gap_features,oof_fold_4,innings_2,283,0.13910355981055952,0.10833262121020971,0.4254867287704694
ml_add_mc_gap_features,oof_fold_4,innings_2_powerplay,80,0.1911017891022313,0.1950459941406667,0.5645719224739375
ml_add_mc_gap_features,oof_fold_4,innings_2_middle,140,0.12829421825827256,0.14530996516020572,0.3978578803223415
ml_add_mc_gap_features,oof_fold_4,innings_2_death,63,0.09709482130240772,0.14521020595686795,0.3102680507777784
ml_replace_resource_with_mc,oof_fold_4,overall,579,0.20415807984142337,0.08210519154457602,0.5912173028959717
ml_replace_resource_with_mc,oof_fold_4,innings_1,296,0.2646904306470662,0.13967188690703577,0.740728011209476
