bucket,n,mean_pred,actual_wr,cal_error,version,phase
60-70,1326,0.6506014842908192,0.7096530920060332,0.059051607715214005,v16_B_replace_resource,overall
70-80,1936,0.7509875473146405,0.8672520661157025,0.11626451880106203,v16_B_replace_resource,overall
80+,5472,0.9361103686724384,0.9437134502923976,0.007603081619959262,v16_B_replace_resource,overall
50-60,610,0.5469060140852097,0.5606557377049181,0.013749723619708387,v16_C_both_plus_regimes,pp
60-70,518,0.6345946242475378,0.7200772200772201,0.08548259582968232,v16_C_both_plus_regimes,pp
70-80,992,0.7473406980886327,0.8316532258064516,0.08431252771781894,v16_C_both_plus_regimes,pp
80+,1361,0.9135302614581277,0.9213813372520205,0.007851075793892881,v16_C_both_plus_regimes,pp
50-60,509,0.5539327085306252,0.5736738703339882,0.01974116180336305,v16_C_both_plus_regimes,mid
60-70,670,0.6544867754912894,0.7029850746268657,0.04849829913557624,v16_C_both_plus_regimes,mid
70-80,871,0.7516467960177027,0.8473019517795637,0.09565515576186101,v16_C_both_plus_regimes,mid
80+,3000,0.9277562350235818,0.9456666666666667,0.017910431643084812,v16_C_both_plus_regimes,mid
50-60,101,0.5519863705439715,0.594059405940594,0.04207303539662255,v16_C_both_plus_regimes,death
60-70,109,0.6390842837301934,0.8807339449541285,0.24164966122393505,v16_C_both_plus_regimes,death
70-80,98,0.7336638991551823,0.8367346938775511,0.1030707947223688,v16_C_both_plus_regimes,death
80+,1208,0.9676664788534391,0.9594370860927153,0.008229392760723875,v16_C_both_plus_regimes,death
50-60,1220,0.5502582300483666,0.5688524590163935,0.01859422896802687,v16_C_both_plus_regimes,overall
60-70,1297,0.6452477577995217,0.7247494217424827,0.07950166394296099,v16_C_both_plus_regimes,overall
70-80,1961,0.7485698082368948,0.8388577256501785,0.09028791741328368,v16_C_both_plus_regimes,overall
80+,5569,0.9329367027060893,0.9427186209373316,0.009781918231242304,v16_C_both_plus_regimes,overall
